cidade,id_cidade,sensor,data,valor
Londrina,23265102,tempminar2m,2021-01-02 00:00:00,21.19
Londrina,23265102,tempminar2m,2021-01-02 00:15:00,20.91
Londrina,23265102,tempminar2m,2021-01-02 00:30:00,20.93
Londrina,23265102,tempminar2m,2021-01-02 00:45:00,21.1
Londrina,23265102,tempminar2m,2021-01-02 01:00:00,21.13
Londrina,23265102,tempminar2m,2021-01-02 01:15:00,21.05
Londrina,23265102,tempminar2m,2021-01-02 01:30:00,20.9
Londrina,23265102,tempminar2m,2021-01-02 01:45:00,20.84
Londrina,23265102,tempminar2m,2021-01-02 02:00:00,20.66
Londrina,23265102,tempminar2m,2021-01-02 02:15:00,20.4
Londrina,23265102,tempminar2m,2021-01-02 02:30:00,20.44
Londrina,23265102,tempminar2m,2021-01-02 02:45:00,20.58
Londrina,23265102,tempminar2m,2021-01-02 03:00:00,20.56
Londrina,23265102,tempminar2m,2021-01-02 03:15:00,20.54
Londrina,23265102,tempminar2m,2021-01-02 03:30:00,20.51
Londrina,23265102,tempminar2m,2021-01-02 03:45:00,20.5
Londrina,23265102,tempminar2m,2021-01-02 04:00:00,20.44
Londrina,23265102,tempminar2m,2021-01-02 04:15:00,20.46
Londrina,23265102,tempminar2m,2021-01-02 04:30:00,20.46
Londrina,23265102,tempminar2m,2021-01-02 04:45:00,20.42
Londrina,23265102,tempminar2m,2021-01-02 05:00:00,20.39
Londrina,23265102,tempminar2m,2021-01-02 05:15:00,20.32
Londrina,23265102,tempminar2m,2021-01-02 05:30:00,20.06
Londrina,23265102,tempminar2m,2021-01-02 05:45:00,19.78
Londrina,23265102,tempminar2m,2021-01-02 06:00:00,19.77
Londrina,23265102,tempminar2m,2021-01-02 06:15:00,19.78
Londrina,23265102,tempminar2m,2021-01-02 06:30:00,20.16
Londrina,23265102,tempminar2m,2021-01-02 06:45:00,20.39
Londrina,23265102,tempminar2m,2021-01-02 07:00:00,20.56
Londrina,23265102,tempminar2m,2021-01-02 07:15:00,20.65
Londrina,23265102,tempminar2m,2021-01-02 07:30:00,20.62
Londrina,23265102,tempminar2m,2021-01-02 07:45:00,20.7
Londrina,23265102,tempminar2m,2021-01-02 08:00:00,20.67
Londrina,23265102,tempminar2m,2021-01-02 08:15:00,20.71
Londrina,23265102,tempminar2m,2021-01-02 08:30:00,20.91
Londrina,23265102,tempminar2m,2021-01-02 08:45:00,21.01
Londrina,23265102,tempminar2m,2021-01-02 09:00:00,22.09
Londrina,23265102,tempminar2m,2021-01-02 09:15:00,22.13
Londrina,23265102,tempminar2m,2021-01-02 09:30:00,22.54
Londrina,23265102,tempminar2m,2021-01-02 09:45:00,23.0
Londrina,23265102,tempminar2m,2021-01-02 10:00:00,23.31
Londrina,23265102,tempminar2m,2021-01-02 10:15:00,23.11
Londrina,23265102,tempminar2m,2021-01-02 10:30:00,23.14
Londrina,23265102,tempminar2m,2021-01-02 10:45:00,22.86
Londrina,23265102,tempminar2m,2021-01-02 11:00:00,23.36
Londrina,23265102,tempminar2m,2021-01-02 11:15:00,23.85
Londrina,23265102,tempminar2m,2021-01-02 11:30:00,24.84
Londrina,23265102,tempminar2m,2021-01-02 11:45:00,25.11
Londrina,23265102,tempminar2m,2021-01-02 12:00:00,26.02
Londrina,23265102,tempminar2m,2021-01-02 12:15:00,25.81
Londrina,23265102,tempminar2m,2021-01-02 12:30:00,25.54
Londrina,23265102,tempminar2m,2021-01-02 12:45:00,26.15
Londrina,23265102,tempminar2m,2021-01-02 13:00:00,26.67
Londrina,23265102,tempminar2m,2021-01-02 13:15:00,26.67
Londrina,23265102,tempminar2m,2021-01-02 13:30:00,26.56
Londrina,23265102,tempminar2m,2021-01-02 13:45:00,26.79
Londrina,23265102,tempminar2m,2021-01-02 14:00:00,27.58
Londrina,23265102,tempminar2m,2021-01-02 14:15:00,27.77
Londrina,23265102,tempminar2m,2021-01-02 14:30:00,28.34
Londrina,23265102,tempminar2m,2021-01-02 14:45:00,28.09
Londrina,23265102,tempminar2m,2021-01-02 15:00:00,28.76
Londrina,23265102,tempminar2m,2021-01-02 15:15:00,28.78
Londrina,23265102,tempminar2m,2021-01-02 15:30:00,28.44
Londrina,23265102,tempminar2m,2021-01-02 15:45:00,28.82
Londrina,23265102,tempminar2m,2021-01-02 16:00:00,27.87
Londrina,23265102,tempminar2m,2021-01-02 16:15:00,28.05
Londrina,23265102,tempminar2m,2021-01-02 16:30:00,29.3
Londrina,23265102,tempminar2m,2021-01-02 16:45:00,29.47
Londrina,23265102,tempminar2m,2021-01-02 17:00:00,28.31
Londrina,23265102,tempminar2m,2021-01-02 17:15:00,26.49
Londrina,23265102,tempminar2m,2021-01-02 17:30:00,26.34
Londrina,23265102,tempminar2m,2021-01-02 17:45:00,26.39
Londrina,23265102,tempminar2m,2021-01-02 18:00:00,28.02
Londrina,23265102,tempminar2m,2021-01-02 18:15:00,27.83
Londrina,23265102,tempminar2m,2021-01-02 18:30:00,27.99
Londrina,23265102,tempminar2m,2021-01-02 18:45:00,27.07
Londrina,23265102,tempminar2m,2021-01-02 19:00:00,26.14
Londrina,23265102,tempminar2m,2021-01-02 19:15:00,25.74
Londrina,23265102,tempminar2m,2021-01-02 19:30:00,25.2
Londrina,23265102,tempminar2m,2021-01-02 19:45:00,24.9
Londrina,23265102,tempminar2m,2021-01-02 20:00:00,24.57
Londrina,23265102,tempminar2m,2021-01-02 20:15:00,24.45
Londrina,23265102,tempminar2m,2021-01-02 20:30:00,24.79
Londrina,23265102,tempminar2m,2021-01-02 20:45:00,24.65
Londrina,23265102,tempminar2m,2021-01-02 21:00:00,24.51
Londrina,23265102,tempminar2m,2021-01-02 21:15:00,24.39
Londrina,23265102,tempminar2m,2021-01-02 21:30:00,24.18
Londrina,23265102,tempminar2m,2021-01-02 21:45:00,24.1
Londrina,23265102,tempminar2m,2021-01-02 22:00:00,24.17
Londrina,23265102,tempminar2m,2021-01-02 22:15:00,23.96
Londrina,23265102,tempminar2m,2021-01-02 22:30:00,23.44
Londrina,23265102,tempminar2m,2021-01-02 22:45:00,22.79
Londrina,23265102,tempminar2m,2021-01-02 23:00:00,22.57
Londrina,23265102,tempminar2m,2021-01-02 23:15:00,22.19
Londrina,23265102,tempminar2m,2021-01-02 23:30:00,21.97
Londrina,23265102,tempminar2m,2021-01-02 23:45:00,21.69
Londrina,23265102,tempminar2m,2021-01-03 00:00:00,21.76
