cidade,id_cidade,sensor,data,valor
Londrina,23265102,tempsolocm2cm,2021-05-29 00:00:00,20.89
Londrina,23265102,tempsolocm2cm,2021-05-29 00:15:00,20.8
Londrina,23265102,tempsolocm2cm,2021-05-29 00:30:00,20.7
Londrina,23265102,tempsolocm2cm,2021-05-29 00:45:00,20.5
Londrina,23265102,tempsolocm2cm,2021-05-29 01:00:00,20.15
Londrina,23265102,tempsolocm2cm,2021-05-29 01:15:00,19.9
Londrina,23265102,tempsolocm2cm,2021-05-29 01:30:00,19.73
Londrina,23265102,tempsolocm2cm,2021-05-29 01:45:00,19.48
Londrina,23265102,tempsolocm2cm,2021-05-29 02:00:00,19.34
Londrina,23265102,tempsolocm2cm,2021-05-29 02:15:00,19.27
Londrina,23265102,tempsolocm2cm,2021-05-29 02:30:00,19.17
Londrina,23265102,tempsolocm2cm,2021-05-29 02:45:00,19.09
Londrina,23265102,tempsolocm2cm,2021-05-29 03:00:00,19.0
Londrina,23265102,tempsolocm2cm,2021-05-29 03:15:00,18.94
Londrina,23265102,tempsolocm2cm,2021-05-29 03:30:00,18.87
Londrina,23265102,tempsolocm2cm,2021-05-29 03:45:00,18.76
Londrina,23265102,tempsolocm2cm,2021-05-29 04:00:00,18.78
Londrina,23265102,tempsolocm2cm,2021-05-29 04:15:00,18.85
Londrina,23265102,tempsolocm2cm,2021-05-29 04:30:00,18.97
Londrina,23265102,tempsolocm2cm,2021-05-29 04:45:00,18.99
Londrina,23265102,tempsolocm2cm,2021-05-29 05:00:00,19.1
Londrina,23265102,tempsolocm2cm,2021-05-29 05:15:00,19.29
Londrina,23265102,tempsolocm2cm,2021-05-29 05:30:00,19.47
Londrina,23265102,tempsolocm2cm,2021-05-29 05:45:00,19.57
Londrina,23265102,tempsolocm2cm,2021-05-29 06:00:00,19.63
Londrina,23265102,tempsolocm2cm,2021-05-29 06:15:00,19.65
Londrina,23265102,tempsolocm2cm,2021-05-29 06:30:00,19.64
Londrina,23265102,tempsolocm2cm,2021-05-29 06:45:00,19.65
Londrina,23265102,tempsolocm2cm,2021-05-29 07:00:00,19.68
Londrina,23265102,tempsolocm2cm,2021-05-29 07:15:00,19.84
Londrina,23265102,tempsolocm2cm,2021-05-29 07:30:00,20.08
Londrina,23265102,tempsolocm2cm,2021-05-29 07:45:00,20.42
Londrina,23265102,tempsolocm2cm,2021-05-29 08:00:00,20.65
Londrina,23265102,tempsolocm2cm,2021-05-29 08:15:00,20.82
Londrina,23265102,tempsolocm2cm,2021-05-29 08:30:00,21.15
Londrina,23265102,tempsolocm2cm,2021-05-29 08:45:00,21.54
