cidade,id_cidade,sensor,data,valor
Londrina,23265102,ventovel10m,2021-07-27 00:00:00,0.098
Londrina,23265102,ventovel10m,2021-07-27 00:15:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 00:30:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 00:45:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 01:00:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 01:15:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 01:30:00,0.94
Londrina,23265102,ventovel10m,2021-07-27 01:45:00,0.07
Londrina,23265102,ventovel10m,2021-07-27 02:00:00,1.122
Londrina,23265102,ventovel10m,2021-07-27 02:15:00,0.08
Londrina,23265102,ventovel10m,2021-07-27 02:30:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 02:45:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 03:00:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 03:15:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 03:30:00,0.29
Londrina,23265102,ventovel10m,2021-07-27 03:45:00,1.242
Londrina,23265102,ventovel10m,2021-07-27 04:00:00,1.443
Londrina,23265102,ventovel10m,2021-07-27 04:15:00,1.356
Londrina,23265102,ventovel10m,2021-07-27 04:30:00,0.97
Londrina,23265102,ventovel10m,2021-07-27 04:45:00,1.798
Londrina,23265102,ventovel10m,2021-07-27 05:00:00,0.39
Londrina,23265102,ventovel10m,2021-07-27 05:15:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 05:30:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 05:45:00,0.8
Londrina,23265102,ventovel10m,2021-07-27 06:00:00,0.72
Londrina,23265102,ventovel10m,2021-07-27 06:15:00,2.213
Londrina,23265102,ventovel10m,2021-07-27 06:30:00,2.473
Londrina,23265102,ventovel10m,2021-07-27 06:45:00,1.556
Londrina,23265102,ventovel10m,2021-07-27 07:00:00,1.497
Londrina,23265102,ventovel10m,2021-07-27 07:15:00,1.232
Londrina,23265102,ventovel10m,2021-07-27 07:30:00,1.151
Londrina,23265102,ventovel10m,2021-07-27 07:45:00,0.14
Londrina,23265102,ventovel10m,2021-07-27 08:00:00,0.0
Londrina,23265102,ventovel10m,2021-07-27 08:15:00,0.47
Londrina,23265102,ventovel10m,2021-07-27 08:30:00,0.0
