cidade,id_cidade,sensor,data,valor
Londrina,23265102,batmin,2021-05-29 00:00:00,12.25
Londrina,23265102,batmin,2021-05-29 00:15:00,12.25
Londrina,23265102,batmin,2021-05-29 00:30:00,12.24
Londrina,23265102,batmin,2021-05-29 00:45:00,12.23
Londrina,23265102,batmin,2021-05-29 01:00:00,12.23
Londrina,23265102,batmin,2021-05-29 01:15:00,12.21
Londrina,23265102,batmin,2021-05-29 01:30:00,12.21
Londrina,23265102,batmin,2021-05-29 01:45:00,12.19
Londrina,23265102,batmin,2021-05-29 02:00:00,12.19
Londrina,23265102,batmin,2021-05-29 02:15:00,12.17
Londrina,23265102,batmin,2021-05-29 02:30:00,12.18
Londrina,23265102,batmin,2021-05-29 02:45:00,12.17
Londrina,23265102,batmin,2021-05-29 03:00:00,12.16
Londrina,23265102,batmin,2021-05-29 03:15:00,12.13
Londrina,23265102,batmin,2021-05-29 03:30:00,12.16
Londrina,23265102,batmin,2021-05-29 03:45:00,12.14
Londrina,23265102,batmin,2021-05-29 04:00:00,12.09
Londrina,23265102,batmin,2021-05-29 04:15:00,12.1
Londrina,23265102,batmin,2021-05-29 04:30:00,12.12
Londrina,23265102,batmin,2021-05-29 04:45:00,12.11
Londrina,23265102,batmin,2021-05-29 05:00:00,12.11
Londrina,23265102,batmin,2021-05-29 05:15:00,12.1
Londrina,23265102,batmin,2021-05-29 05:30:00,12.1
Londrina,23265102,batmin,2021-05-29 05:45:00,12.1
Londrina,23265102,batmin,2021-05-29 06:00:00,12.09
Londrina,23265102,batmin,2021-05-29 06:15:00,12.07
Londrina,23265102,batmin,2021-05-29 06:30:00,12.08
Londrina,23265102,batmin,2021-05-29 06:45:00,12.08
Londrina,23265102,batmin,2021-05-29 07:00:00,12.08
Londrina,23265102,batmin,2021-05-29 07:15:00,12.07
Londrina,23265102,batmin,2021-05-29 07:30:00,12.26
Londrina,23265102,batmin,2021-05-29 07:45:00,12.57
Londrina,23265102,batmin,2021-05-29 08:00:00,12.52
Londrina,23265102,batmin,2021-05-29 08:15:00,12.51
Londrina,23265102,batmin,2021-05-29 08:30:00,12.59
Londrina,23265102,batmin,2021-05-29 08:45:00,12.64
Londrina,23265102,batmin,2021-05-29 09:00:00,12.67
Londrina,23265102,batmin,2021-05-29 09:15:00,12.7
Londrina,23265102,batmin,2021-05-29 09:30:00,12.65
Londrina,23265102,batmin,2021-05-29 09:45:00,12.75
Londrina,23265102,batmin,2021-05-29 10:00:00,12.77
Londrina,23265102,batmin,2021-05-29 10:15:00,12.74
Londrina,23265102,batmin,2021-05-29 10:30:00,12.86
Londrina,23265102,batmin,2021-05-29 10:45:00,12.94
Londrina,23265102,batmin,2021-05-29 11:00:00,12.94
Londrina,23265102,batmin,2021-05-29 11:15:00,12.92
Londrina,23265102,batmin,2021-05-29 11:30:00,12.92
Londrina,23265102,batmin,2021-05-29 11:45:00,12.92
Londrina,23265102,batmin,2021-05-29 12:00:00,12.92
Londrina,23265102,batmin,2021-05-29 12:15:00,12.92
Londrina,23265102,batmin,2021-05-29 12:30:00,12.93
Londrina,23265102,batmin,2021-05-29 12:45:00,12.94
Londrina,23265102,batmin,2021-05-29 13:00:00,12.94
Londrina,23265102,batmin,2021-05-29 13:15:00,12.95
Londrina,23265102,batmin,2021-05-29 13:30:00,12.96
Londrina,23265102,batmin,2021-05-29 13:45:00,12.95
Londrina,23265102,batmin,2021-05-29 14:00:00,12.94
Londrina,23265102,batmin,2021-05-29 14:15:00,12.94
Londrina,23265102,batmin,2021-05-29 14:30:00,12.95
Londrina,23265102,batmin,2021-05-29 14:45:00,12.97
Londrina,23265102,batmin,2021-05-29 15:00:00,12.98
Londrina,23265102,batmin,2021-05-29 15:15:00,12.97
Londrina,23265102,batmin,2021-05-29 15:30:00,12.97
Londrina,23265102,batmin,2021-05-29 15:45:00,12.97
Londrina,23265102,batmin,2021-05-29 16:00:00,12.97
Londrina,23265102,batmin,2021-05-29 16:15:00,12.99
Londrina,23265102,batmin,2021-05-29 16:30:00,13.0
Londrina,23265102,batmin,2021-05-29 16:45:00,12.87
Londrina,23265102,batmin,2021-05-29 17:00:00,12.71
Londrina,23265102,batmin,2021-05-29 17:15:00,12.62
Londrina,23265102,batmin,2021-05-29 17:30:00,12.49
Londrina,23265102,batmin,2021-05-29 17:45:00,12.45
Londrina,23265102,batmin,2021-05-29 18:00:00,12.42
Londrina,23265102,batmin,2021-05-29 18:15:00,12.4
Londrina,23265102,batmin,2021-05-29 18:30:00,12.39
Londrina,23265102,batmin,2021-05-29 18:45:00,12.38
Londrina,23265102,batmin,2021-05-29 19:00:00,12.36
Londrina,23265102,batmin,2021-05-29 19:15:00,12.31
Londrina,23265102,batmin,2021-05-29 19:30:00,12.35
Londrina,23265102,batmin,2021-05-29 19:45:00,12.34
Londrina,23265102,batmin,2021-05-29 20:00:00,12.34
Londrina,23265102,batmin,2021-05-29 20:15:00,12.32
Londrina,23265102,batmin,2021-05-29 20:30:00,12.32
Londrina,23265102,batmin,2021-05-29 20:45:00,12.31
Londrina,23265102,batmin,2021-05-29 21:00:00,12.3
Londrina,23265102,batmin,2021-05-29 21:15:00,12.3
Londrina,23265102,batmin,2021-05-29 21:30:00,12.29
Londrina,23265102,batmin,2021-05-29 21:45:00,12.28
Londrina,23265102,batmin,2021-05-29 22:00:00,12.28
Londrina,23265102,batmin,2021-05-29 22:15:00,12.25
