cidade,id_cidade,sensor,data,valor
Londrina,23265102,raj10m,2021-05-30 00:00:00,0.0
Londrina,23265102,raj10m,2021-05-30 00:15:00,0.0
Londrina,23265102,raj10m,2021-05-30 00:30:00,0.0
Londrina,23265102,raj10m,2021-05-30 00:45:00,1.85
Londrina,23265102,raj10m,2021-05-30 01:00:00,0.0
Londrina,23265102,raj10m,2021-05-30 01:15:00,0.0
Londrina,23265102,raj10m,2021-05-30 01:30:00,0.0
Londrina,23265102,raj10m,2021-05-30 01:45:00,2.225
Londrina,23265102,raj10m,2021-05-30 02:00:00,2.525
Londrina,23265102,raj10m,2021-05-30 02:15:00,2.15
Londrina,23265102,raj10m,2021-05-30 02:30:00,0.0
Londrina,23265102,raj10m,2021-05-30 02:45:00,0.0
Londrina,23265102,raj10m,2021-05-30 03:00:00,2.9
Londrina,23265102,raj10m,2021-05-30 03:15:00,3.65
Londrina,23265102,raj10m,2021-05-30 03:30:00,6.95
Londrina,23265102,raj10m,2021-05-30 03:45:00,11.0
Londrina,23265102,raj10m,2021-05-30 04:00:00,6.425
Londrina,23265102,raj10m,2021-05-30 04:15:00,5.15
Londrina,23265102,raj10m,2021-05-30 04:30:00,3.875
Londrina,23265102,raj10m,2021-05-30 04:45:00,3.5
Londrina,23265102,raj10m,2021-05-30 05:00:00,4.25
Londrina,23265102,raj10m,2021-05-30 05:15:00,5.525
Londrina,23265102,raj10m,2021-05-30 05:30:00,7.1
Londrina,23265102,raj10m,2021-05-30 05:45:00,7.85
Londrina,23265102,raj10m,2021-05-30 06:00:00,4.85
Londrina,23265102,raj10m,2021-05-30 06:15:00,5.0
Londrina,23265102,raj10m,2021-05-30 06:30:00,4.325
Londrina,23265102,raj10m,2021-05-30 06:45:00,5.45
Londrina,23265102,raj10m,2021-05-30 07:00:00,6.275
Londrina,23265102,raj10m,2021-05-30 07:15:00,6.575
Londrina,23265102,raj10m,2021-05-30 07:30:00,5.15
Londrina,23265102,raj10m,2021-05-30 07:45:00,8.3
Londrina,23265102,raj10m,2021-05-30 08:00:00,10.85
Londrina,23265102,raj10m,2021-05-30 08:15:00,5.525
Londrina,23265102,raj10m,2021-05-30 08:30:00,6.125
Londrina,23265102,raj10m,2021-05-30 08:45:00,6.65
Londrina,23265102,raj10m,2021-05-30 09:00:00,5.6
Londrina,23265102,raj10m,2021-05-30 09:15:00,6.575
Londrina,23265102,raj10m,2021-05-30 09:30:00,6.425
Londrina,23265102,raj10m,2021-05-30 09:45:00,4.775
Londrina,23265102,raj10m,2021-05-30 10:00:00,5.45
Londrina,23265102,raj10m,2021-05-30 10:15:00,5.525
Londrina,23265102,raj10m,2021-05-30 10:30:00,3.2
Londrina,23265102,raj10m,2021-05-30 10:45:00,2.9
Londrina,23265102,raj10m,2021-05-30 11:00:00,2.75
Londrina,23265102,raj10m,2021-05-30 11:15:00,3.125
Londrina,23265102,raj10m,2021-05-30 11:30:00,4.325
Londrina,23265102,raj10m,2021-05-30 11:45:00,6.425
Londrina,23265102,raj10m,2021-05-30 12:00:00,4.4
Londrina,23265102,raj10m,2021-05-30 12:15:00,3.95
Londrina,23265102,raj10m,2021-05-30 12:30:00,0.0
Londrina,23265102,raj10m,2021-05-30 12:45:00,0.0
Londrina,23265102,raj10m,2021-05-30 13:00:00,1.625
Londrina,23265102,raj10m,2021-05-30 13:15:00,2.825
Londrina,23265102,raj10m,2021-05-30 13:30:00,5.0
Londrina,23265102,raj10m,2021-05-30 13:45:00,6.275
Londrina,23265102,raj10m,2021-05-30 14:00:00,4.85
Londrina,23265102,raj10m,2021-05-30 14:15:00,0.0
Londrina,23265102,raj10m,2021-05-30 14:30:00,3.5
Londrina,23265102,raj10m,2021-05-30 14:45:00,2.825
Londrina,23265102,raj10m,2021-05-30 15:00:00,2.75
Londrina,23265102,raj10m,2021-05-30 15:15:00,0.0
Londrina,23265102,raj10m,2021-05-30 15:30:00,2.15
Londrina,23265102,raj10m,2021-05-30 15:45:00,0.0
Londrina,23265102,raj10m,2021-05-30 16:00:00,3.125
Londrina,23265102,raj10m,2021-05-30 16:15:00,3.05
Londrina,23265102,raj10m,2021-05-30 16:30:00,3.725
Londrina,23265102,raj10m,2021-05-30 16:45:00,4.55
Londrina,23265102,raj10m,2021-05-30 17:00:00,3.05
Londrina,23265102,raj10m,2021-05-30 17:15:00,4.025
Londrina,23265102,raj10m,2021-05-30 17:30:00,3.95
Londrina,23265102,raj10m,2021-05-30 17:45:00,4.925
Londrina,23265102,raj10m,2021-05-30 18:00:00,3.05
Londrina,23265102,raj10m,2021-05-30 18:15:00,3.275
Londrina,23265102,raj10m,2021-05-30 18:30:00,2.675
Londrina,23265102,raj10m,2021-05-30 18:45:00,2.75
Londrina,23265102,raj10m,2021-05-30 19:00:00,2.525
Londrina,23265102,raj10m,2021-05-30 19:15:00,3.725
Londrina,23265102,raj10m,2021-05-30 19:30:00,4.25
Londrina,23265102,raj10m,2021-05-30 19:45:00,3.425
Londrina,23265102,raj10m,2021-05-30 20:00:00,3.2
Londrina,23265102,raj10m,2021-05-30 20:15:00,3.05
Londrina,23265102,raj10m,2021-05-30 20:30:00,3.2
Londrina,23265102,raj10m,2021-05-30 20:45:00,2.975
Londrina,23265102,raj10m,2021-05-30 21:00:00,0.0
Londrina,23265102,raj10m,2021-05-30 21:15:00,0.0
Londrina,23265102,raj10m,2021-05-30 21:30:00,2.0
Londrina,23265102,raj10m,2021-05-30 21:45:00,2.3
Londrina,23265102,raj10m,2021-05-30 22:00:00,1.25
Londrina,23265102,raj10m,2021-05-30 22:15:00,2.525
Londrina,23265102,raj10m,2021-05-30 22:30:00,3.425
Londrina,23265102,raj10m,2021-05-30 22:45:00,2.6
Londrina,23265102,raj10m,2021-05-30 23:00:00,2.45
Londrina,23265102,raj10m,2021-05-30 23:15:00,3.425
Londrina,23265102,raj10m,2021-05-30 23:30:00,3.425
Londrina,23265102,raj10m,2021-05-30 23:45:00,3.725
Londrina,23265102,raj10m,2021-05-31 00:00:00,3.425
Londrina,23265102,raj10m,2021-05-31 00:15:00,3.2
Londrina,23265102,raj10m,2021-05-31 00:30:00,0.0
Londrina,23265102,raj10m,2021-05-31 00:45:00,0.0
