cidade,id_cidade,sensor,data,valor
Londrina,23265102,tempminar2m,2021-04-26 00:00:00,18.65
Londrina,23265102,tempminar2m,2021-04-26 00:15:00,18.42
Londrina,23265102,tempminar2m,2021-04-26 00:30:00,18.58
Londrina,23265102,tempminar2m,2021-04-26 00:45:00,18.31
Londrina,23265102,tempminar2m,2021-04-26 01:00:00,18.1
Londrina,23265102,tempminar2m,2021-04-26 01:15:00,17.99
Londrina,23265102,tempminar2m,2021-04-26 01:30:00,18.02
Londrina,23265102,tempminar2m,2021-04-26 01:45:00,17.55
Londrina,23265102,tempminar2m,2021-04-26 02:00:00,17.19
Londrina,23265102,tempminar2m,2021-04-26 02:15:00,16.94
Londrina,23265102,tempminar2m,2021-04-26 02:30:00,16.92
Londrina,23265102,tempminar2m,2021-04-26 02:45:00,16.97
Londrina,23265102,tempminar2m,2021-04-26 03:00:00,16.88
Londrina,23265102,tempminar2m,2021-04-26 03:15:00,16.81
Londrina,23265102,tempminar2m,2021-04-26 03:30:00,16.67
Londrina,23265102,tempminar2m,2021-04-26 03:45:00,16.54
Londrina,23265102,tempminar2m,2021-04-26 04:00:00,16.54
Londrina,23265102,tempminar2m,2021-04-26 04:15:00,16.04
Londrina,23265102,tempminar2m,2021-04-26 04:30:00,15.86
Londrina,23265102,tempminar2m,2021-04-26 04:45:00,15.77
Londrina,23265102,tempminar2m,2021-04-26 05:00:00,15.72
Londrina,23265102,tempminar2m,2021-04-26 05:15:00,15.7
Londrina,23265102,tempminar2m,2021-04-26 05:30:00,15.7
Londrina,23265102,tempminar2m,2021-04-26 05:45:00,15.78
Londrina,23265102,tempminar2m,2021-04-26 06:00:00,15.58
Londrina,23265102,tempminar2m,2021-04-26 06:15:00,15.34
Londrina,23265102,tempminar2m,2021-04-26 06:30:00,15.16
Londrina,23265102,tempminar2m,2021-04-26 06:45:00,15.07
Londrina,23265102,tempminar2m,2021-04-26 07:00:00,15.23
Londrina,23265102,tempminar2m,2021-04-26 07:15:00,15.48
Londrina,23265102,tempminar2m,2021-04-26 07:30:00,16.0
Londrina,23265102,tempminar2m,2021-04-26 07:45:00,16.23
Londrina,23265102,tempminar2m,2021-04-26 08:00:00,17.01
Londrina,23265102,tempminar2m,2021-04-26 08:15:00,17.18
Londrina,23265102,tempminar2m,2021-04-26 08:30:00,17.66
Londrina,23265102,tempminar2m,2021-04-26 08:45:00,19.6
Londrina,23265102,tempminar2m,2021-04-26 09:00:00,20.1
Londrina,23265102,tempminar2m,2021-04-26 09:15:00,20.28
Londrina,23265102,tempminar2m,2021-04-26 09:30:00,20.5
Londrina,23265102,tempminar2m,2021-04-26 09:45:00,20.95
Londrina,23265102,tempminar2m,2021-04-26 10:00:00,21.16
Londrina,23265102,tempminar2m,2021-04-26 10:15:00,21.98
Londrina,23265102,tempminar2m,2021-04-26 10:30:00,22.89
Londrina,23265102,tempminar2m,2021-04-26 10:45:00,23.35
Londrina,23265102,tempminar2m,2021-04-26 11:00:00,23.69
Londrina,23265102,tempminar2m,2021-04-26 11:15:00,23.7
Londrina,23265102,tempminar2m,2021-04-26 11:30:00,24.76
Londrina,23265102,tempminar2m,2021-04-26 11:45:00,24.95
Londrina,23265102,tempminar2m,2021-04-26 12:00:00,25.26
Londrina,23265102,tempminar2m,2021-04-26 12:15:00,24.97
Londrina,23265102,tempminar2m,2021-04-26 12:30:00,24.68
Londrina,23265102,tempminar2m,2021-04-26 12:45:00,25.27
Londrina,23265102,tempminar2m,2021-04-26 13:00:00,26.11
Londrina,23265102,tempminar2m,2021-04-26 13:15:00,25.37
Londrina,23265102,tempminar2m,2021-04-26 13:30:00,25.85
Londrina,23265102,tempminar2m,2021-04-26 13:45:00,26.31
Londrina,23265102,tempminar2m,2021-04-26 14:00:00,26.06
Londrina,23265102,tempminar2m,2021-04-26 14:15:00,25.91
Londrina,23265102,tempminar2m,2021-04-26 14:30:00,26.02
Londrina,23265102,tempminar2m,2021-04-26 14:45:00,27.06
Londrina,23265102,tempminar2m,2021-04-26 15:00:00,27.06
Londrina,23265102,tempminar2m,2021-04-26 15:15:00,26.9
Londrina,23265102,tempminar2m,2021-04-26 15:30:00,27.29
Londrina,23265102,tempminar2m,2021-04-26 15:45:00,27.29
Londrina,23265102,tempminar2m,2021-04-26 16:00:00,27.32
Londrina,23265102,tempminar2m,2021-04-26 16:15:00,26.91
Londrina,23265102,tempminar2m,2021-04-26 16:30:00,26.74
Londrina,23265102,tempminar2m,2021-04-26 16:45:00,26.52
Londrina,23265102,tempminar2m,2021-04-26 17:00:00,26.29
Londrina,23265102,tempminar2m,2021-04-26 17:15:00,25.94
Londrina,23265102,tempminar2m,2021-04-26 17:30:00,25.03
Londrina,23265102,tempminar2m,2021-04-26 17:45:00,24.2
Londrina,23265102,tempminar2m,2021-04-26 18:00:00,23.1
Londrina,23265102,tempminar2m,2021-04-26 18:15:00,22.11
Londrina,23265102,tempminar2m,2021-04-26 18:30:00,21.57
Londrina,23265102,tempminar2m,2021-04-26 18:45:00,21.33
Londrina,23265102,tempminar2m,2021-04-26 19:00:00,21.06
Londrina,23265102,tempminar2m,2021-04-26 19:15:00,20.77
Londrina,23265102,tempminar2m,2021-04-26 19:30:00,20.64
Londrina,23265102,tempminar2m,2021-04-26 19:45:00,20.34
Londrina,23265102,tempminar2m,2021-04-26 20:00:00,20.13
Londrina,23265102,tempminar2m,2021-04-26 20:15:00,20.04
Londrina,23265102,tempminar2m,2021-04-26 20:30:00,19.26
Londrina,23265102,tempminar2m,2021-04-26 20:45:00,19.02
Londrina,23265102,tempminar2m,2021-04-26 21:00:00,18.82
Londrina,23265102,tempminar2m,2021-04-26 21:15:00,18.51
Londrina,23265102,tempminar2m,2021-04-26 21:30:00,18.22
Londrina,23265102,tempminar2m,2021-04-26 21:45:00,18.06
Londrina,23265102,tempminar2m,2021-04-26 22:00:00,17.95
Londrina,23265102,tempminar2m,2021-04-26 22:15:00,17.83
Londrina,23265102,tempminar2m,2021-04-26 22:30:00,17.69
Londrina,23265102,tempminar2m,2021-04-26 22:45:00,17.67
Londrina,23265102,tempminar2m,2021-04-26 23:00:00,17.51
Londrina,23265102,tempminar2m,2021-04-26 23:15:00,17.4
Londrina,23265102,tempminar2m,2021-04-26 23:30:00,17.28
Londrina,23265102,tempminar2m,2021-04-26 23:45:00,16.99
Londrina,23265102,tempminar2m,2021-04-27 00:00:00,16.95
Londrina,23265102,tempminar2m,2021-04-27 00:15:00,16.75
Londrina,23265102,tempminar2m,2021-04-27 00:30:00,16.59
Londrina,23265102,tempminar2m,2021-04-27 00:45:00,16.49
Londrina,23265102,tempminar2m,2021-04-27 01:00:00,16.31
Londrina,23265102,tempminar2m,2021-04-27 01:15:00,16.2
Londrina,23265102,tempminar2m,2021-04-27 01:30:00,16.12
Londrina,23265102,tempminar2m,2021-04-27 01:45:00,15.94
Londrina,23265102,tempminar2m,2021-04-27 02:00:00,15.86
Londrina,23265102,tempminar2m,2021-04-27 02:15:00,15.72
Londrina,23265102,tempminar2m,2021-04-27 02:30:00,15.56
Londrina,23265102,tempminar2m,2021-04-27 02:45:00,15.22
Londrina,23265102,tempminar2m,2021-04-27 03:00:00,15.16
Londrina,23265102,tempminar2m,2021-04-27 03:15:00,14.99
Londrina,23265102,tempminar2m,2021-04-27 03:30:00,14.66
Londrina,23265102,tempminar2m,2021-04-27 03:45:00,14.53
Londrina,23265102,tempminar2m,2021-04-27 04:00:00,14.57
Londrina,23265102,tempminar2m,2021-04-27 04:15:00,14.61
Londrina,23265102,tempminar2m,2021-04-27 04:30:00,14.62
Londrina,23265102,tempminar2m,2021-04-27 04:45:00,14.47
Londrina,23265102,tempminar2m,2021-04-27 05:00:00,14.29
Londrina,23265102,tempminar2m,2021-04-27 05:15:00,14.27
Londrina,23265102,tempminar2m,2021-04-27 05:30:00,14.44
Londrina,23265102,tempminar2m,2021-04-27 05:45:00,14.02
Londrina,23265102,tempminar2m,2021-04-27 06:00:00,13.85
Londrina,23265102,tempminar2m,2021-04-27 06:15:00,14.7
Londrina,23265102,tempminar2m,2021-04-27 06:30:00,13.92
Londrina,23265102,tempminar2m,2021-04-27 06:45:00,13.38
Londrina,23265102,tempminar2m,2021-04-27 07:00:00,13.1
Londrina,23265102,tempminar2m,2021-04-27 07:15:00,12.98
Londrina,23265102,tempminar2m,2021-04-27 07:30:00,12.65
Londrina,23265102,tempminar2m,2021-04-27 07:45:00,13.57
Londrina,23265102,tempminar2m,2021-04-27 08:00:00,14.71
Londrina,23265102,tempminar2m,2021-04-27 08:15:00,15.62
Londrina,23265102,tempminar2m,2021-04-27 08:30:00,15.68
Londrina,23265102,tempminar2m,2021-04-27 08:45:00,17.23
Londrina,23265102,tempminar2m,2021-04-27 09:00:00,17.44
Londrina,23265102,tempminar2m,2021-04-27 09:15:00,18.61
Londrina,23265102,tempminar2m,2021-04-27 09:30:00,18.92
Londrina,23265102,tempminar2m,2021-04-27 09:45:00,18.89
Londrina,23265102,tempminar2m,2021-04-27 10:00:00,20.14
Londrina,23265102,tempminar2m,2021-04-27 10:15:00,20.6
Londrina,23265102,tempminar2m,2021-04-27 10:30:00,21.27
Londrina,23265102,tempminar2m,2021-04-27 10:45:00,21.77
Londrina,23265102,tempminar2m,2021-04-27 11:00:00,22.11
Londrina,23265102,tempminar2m,2021-04-27 11:15:00,22.59
Londrina,23265102,tempminar2m,2021-04-27 11:30:00,21.68
Londrina,23265102,tempminar2m,2021-04-27 11:45:00,22.16
Londrina,23265102,tempminar2m,2021-04-27 12:00:00,22.04
Londrina,23265102,tempminar2m,2021-04-27 12:15:00,23.22
Londrina,23265102,tempminar2m,2021-04-27 12:30:00,24.07
Londrina,23265102,tempminar2m,2021-04-27 12:45:00,24.19
Londrina,23265102,tempminar2m,2021-04-27 13:00:00,25.0
Londrina,23265102,tempminar2m,2021-04-27 13:15:00,24.93
Londrina,23265102,tempminar2m,2021-04-27 13:30:00,25.35
