cidade,id_cidade,sensor,data,valor
Londrina,23265102,tempsolocm2cm,2021-07-13 00:00:00,14.01
Londrina,23265102,tempsolocm2cm,2021-07-13 00:15:00,13.77
Londrina,23265102,tempsolocm2cm,2021-07-13 00:30:00,13.55
Londrina,23265102,tempsolocm2cm,2021-07-13 00:45:00,13.33
Londrina,23265102,tempsolocm2cm,2021-07-13 01:00:00,13.15
Londrina,23265102,tempsolocm2cm,2021-07-13 01:15:00,13.03
Londrina,23265102,tempsolocm2cm,2021-07-13 01:30:00,12.85
Londrina,23265102,tempsolocm2cm,2021-07-13 01:45:00,12.73
Londrina,23265102,tempsolocm2cm,2021-07-13 02:00:00,12.59
Londrina,23265102,tempsolocm2cm,2021-07-13 02:15:00,12.53
Londrina,23265102,tempsolocm2cm,2021-07-13 02:30:00,12.46
Londrina,23265102,tempsolocm2cm,2021-07-13 02:45:00,12.39
Londrina,23265102,tempsolocm2cm,2021-07-13 03:00:00,12.27
Londrina,23265102,tempsolocm2cm,2021-07-13 03:15:00,12.18
Londrina,23265102,tempsolocm2cm,2021-07-13 03:30:00,12.05
Londrina,23265102,tempsolocm2cm,2021-07-13 03:45:00,11.91
Londrina,23265102,tempsolocm2cm,2021-07-13 04:00:00,11.74
Londrina,23265102,tempsolocm2cm,2021-07-13 04:15:00,11.59
Londrina,23265102,tempsolocm2cm,2021-07-13 04:30:00,11.44
Londrina,23265102,tempsolocm2cm,2021-07-13 04:45:00,11.28
Londrina,23265102,tempsolocm2cm,2021-07-13 05:00:00,11.21
Londrina,23265102,tempsolocm2cm,2021-07-13 05:15:00,11.15
Londrina,23265102,tempsolocm2cm,2021-07-13 05:30:00,11.03
Londrina,23265102,tempsolocm2cm,2021-07-13 05:45:00,10.91
Londrina,23265102,tempsolocm2cm,2021-07-13 06:00:00,10.81
Londrina,23265102,tempsolocm2cm,2021-07-13 06:15:00,10.66
Londrina,23265102,tempsolocm2cm,2021-07-13 06:30:00,10.52
Londrina,23265102,tempsolocm2cm,2021-07-13 06:45:00,10.38
Londrina,23265102,tempsolocm2cm,2021-07-13 07:00:00,10.25
Londrina,23265102,tempsolocm2cm,2021-07-13 07:15:00,10.45
Londrina,23265102,tempsolocm2cm,2021-07-13 07:30:00,10.6
Londrina,23265102,tempsolocm2cm,2021-07-13 07:45:00,10.76
Londrina,23265102,tempsolocm2cm,2021-07-13 08:00:00,11.07
Londrina,23265102,tempsolocm2cm,2021-07-13 08:15:00,11.7
Londrina,23265102,tempsolocm2cm,2021-07-13 08:30:00,12.98
Londrina,23265102,tempsolocm2cm,2021-07-13 08:45:00,14.27
Londrina,23265102,tempsolocm2cm,2021-07-13 09:00:00,15.61
Londrina,23265102,tempsolocm2cm,2021-07-13 09:15:00,16.35
Londrina,23265102,tempsolocm2cm,2021-07-13 09:30:00,17.91
Londrina,23265102,tempsolocm2cm,2021-07-13 09:45:00,19.59
Londrina,23265102,tempsolocm2cm,2021-07-13 10:00:00,20.91
Londrina,23265102,tempsolocm2cm,2021-07-13 10:15:00,21.49
Londrina,23265102,tempsolocm2cm,2021-07-13 10:30:00,22.19
Londrina,23265102,tempsolocm2cm,2021-07-13 10:45:00,23.54
Londrina,23265102,tempsolocm2cm,2021-07-13 11:00:00,25.32
Londrina,23265102,tempsolocm2cm,2021-07-13 11:15:00,26.6
Londrina,23265102,tempsolocm2cm,2021-07-13 11:30:00,27.75
Londrina,23265102,tempsolocm2cm,2021-07-13 11:45:00,28.8
Londrina,23265102,tempsolocm2cm,2021-07-13 12:00:00,29.77
Londrina,23265102,tempsolocm2cm,2021-07-13 12:15:00,30.35
Londrina,23265102,tempsolocm2cm,2021-07-13 12:30:00,31.13
Londrina,23265102,tempsolocm2cm,2021-07-13 12:45:00,31.78
Londrina,23265102,tempsolocm2cm,2021-07-13 13:00:00,32.18
Londrina,23265102,tempsolocm2cm,2021-07-13 13:15:00,32.81
Londrina,23265102,tempsolocm2cm,2021-07-13 13:30:00,33.2
Londrina,23265102,tempsolocm2cm,2021-07-13 13:45:00,32.86
Londrina,23265102,tempsolocm2cm,2021-07-13 14:00:00,31.88
Londrina,23265102,tempsolocm2cm,2021-07-13 14:15:00,31.49
Londrina,23265102,tempsolocm2cm,2021-07-13 14:30:00,31.04
Londrina,23265102,tempsolocm2cm,2021-07-13 14:45:00,30.46
Londrina,23265102,tempsolocm2cm,2021-07-13 15:00:00,29.83
Londrina,23265102,tempsolocm2cm,2021-07-13 15:15:00,29.3
Londrina,23265102,tempsolocm2cm,2021-07-13 15:30:00,29.82
Londrina,23265102,tempsolocm2cm,2021-07-13 15:45:00,30.24
Londrina,23265102,tempsolocm2cm,2021-07-13 16:00:00,29.76
Londrina,23265102,tempsolocm2cm,2021-07-13 16:15:00,29.27
Londrina,23265102,tempsolocm2cm,2021-07-13 16:30:00,28.89
Londrina,23265102,tempsolocm2cm,2021-07-13 16:45:00,28.28
Londrina,23265102,tempsolocm2cm,2021-07-13 17:00:00,27.5
Londrina,23265102,tempsolocm2cm,2021-07-13 17:15:00,26.52
Londrina,23265102,tempsolocm2cm,2021-07-13 17:30:00,25.2
