cidade,id_cidade,sensor,data,valor
Londrina,23265102,ventodir10m,2021-07-13 00:00:00,163.7
Londrina,23265102,ventodir10m,2021-07-13 00:15:00,208.3
Londrina,23265102,ventodir10m,2021-07-13 00:30:00,237.1
Londrina,23265102,ventodir10m,2021-07-13 00:45:00,235.9
Londrina,23265102,ventodir10m,2021-07-13 01:00:00,255.4
Londrina,23265102,ventodir10m,2021-07-13 01:15:00,248.6
Londrina,23265102,ventodir10m,2021-07-13 01:30:00,228.6
Londrina,23265102,ventodir10m,2021-07-13 01:45:00,0.0
Londrina,23265102,ventodir10m,2021-07-13 02:00:00,0.0
Londrina,23265102,ventodir10m,2021-07-13 02:15:00,261.1
Londrina,23265102,ventodir10m,2021-07-13 02:30:00,276.6
Londrina,23265102,ventodir10m,2021-07-13 02:45:00,269.3
Londrina,23265102,ventodir10m,2021-07-13 03:00:00,280.1
Londrina,23265102,ventodir10m,2021-07-13 03:15:00,261.4
Londrina,23265102,ventodir10m,2021-07-13 03:30:00,268.1
Londrina,23265102,ventodir10m,2021-07-13 03:45:00,252.1
Londrina,23265102,ventodir10m,2021-07-13 04:00:00,189.0
Londrina,23265102,ventodir10m,2021-07-13 04:15:00,0.0
Londrina,23265102,ventodir10m,2021-07-13 04:30:00,104.5
Londrina,23265102,ventodir10m,2021-07-13 04:45:00,93.9
Londrina,23265102,ventodir10m,2021-07-13 05:00:00,96.5
Londrina,23265102,ventodir10m,2021-07-13 05:15:00,221.8
Londrina,23265102,ventodir10m,2021-07-13 05:30:00,0.0
Londrina,23265102,ventodir10m,2021-07-13 05:45:00,263.0
Londrina,23265102,ventodir10m,2021-07-13 06:00:00,260.7
Londrina,23265102,ventodir10m,2021-07-13 06:15:00,222.6
Londrina,23265102,ventodir10m,2021-07-13 06:30:00,169.7
Londrina,23265102,ventodir10m,2021-07-13 06:45:00,193.0
Londrina,23265102,ventodir10m,2021-07-13 07:00:00,160.8
Londrina,23265102,ventodir10m,2021-07-13 07:15:00,153.1
Londrina,23265102,ventodir10m,2021-07-13 07:30:00,174.4
Londrina,23265102,ventodir10m,2021-07-13 07:45:00,212.1
Londrina,23265102,ventodir10m,2021-07-13 08:00:00,250.9
Londrina,23265102,ventodir10m,2021-07-13 08:15:00,203.5
Londrina,23265102,ventodir10m,2021-07-13 08:30:00,216.0
Londrina,23265102,ventodir10m,2021-07-13 08:45:00,232.0
Londrina,23265102,ventodir10m,2021-07-13 09:00:00,213.1
Londrina,23265102,ventodir10m,2021-07-13 09:15:00,159.7
Londrina,23265102,ventodir10m,2021-07-13 09:30:00,148.3
Londrina,23265102,ventodir10m,2021-07-13 09:45:00,155.4
Londrina,23265102,ventodir10m,2021-07-13 10:00:00,170.4
Londrina,23265102,ventodir10m,2021-07-13 10:15:00,156.5
Londrina,23265102,ventodir10m,2021-07-13 10:30:00,168.1
Londrina,23265102,ventodir10m,2021-07-13 10:45:00,96.1
Londrina,23265102,ventodir10m,2021-07-13 11:00:00,87.5
Londrina,23265102,ventodir10m,2021-07-13 11:15:00,78.4
Londrina,23265102,ventodir10m,2021-07-13 11:30:00,55.1
Londrina,23265102,ventodir10m,2021-07-13 11:45:00,48.2
Londrina,23265102,ventodir10m,2021-07-13 12:00:00,52.3
Londrina,23265102,ventodir10m,2021-07-13 12:15:00,56.4
Londrina,23265102,ventodir10m,2021-07-13 12:30:00,62.4
Londrina,23265102,ventodir10m,2021-07-13 12:45:00,64.7
Londrina,23265102,ventodir10m,2021-07-13 13:00:00,79.2
Londrina,23265102,ventodir10m,2021-07-13 13:15:00,70.2
Londrina,23265102,ventodir10m,2021-07-13 13:30:00,51.6
Londrina,23265102,ventodir10m,2021-07-13 13:45:00,75.7
Londrina,23265102,ventodir10m,2021-07-13 14:00:00,33.2
Londrina,23265102,ventodir10m,2021-07-13 14:15:00,35.8
Londrina,23265102,ventodir10m,2021-07-13 14:30:00,38.3
Londrina,23265102,ventodir10m,2021-07-13 14:45:00,28.5
Londrina,23265102,ventodir10m,2021-07-13 15:00:00,34.8
Londrina,23265102,ventodir10m,2021-07-13 15:15:00,28.4
Londrina,23265102,ventodir10m,2021-07-13 15:30:00,39.3
Londrina,23265102,ventodir10m,2021-07-13 15:45:00,35.3
Londrina,23265102,ventodir10m,2021-07-13 16:00:00,43.1
Londrina,23265102,ventodir10m,2021-07-13 16:15:00,71.8
Londrina,23265102,ventodir10m,2021-07-13 16:30:00,64.9
Londrina,23265102,ventodir10m,2021-07-13 16:45:00,56.8
Londrina,23265102,ventodir10m,2021-07-13 17:00:00,83.6
Londrina,23265102,ventodir10m,2021-07-13 17:15:00,99.6
Londrina,23265102,ventodir10m,2021-07-13 17:30:00,107.5
Londrina,23265102,ventodir10m,2021-07-13 17:45:00,105.3
Londrina,23265102,ventodir10m,2021-07-13 18:00:00,119.3
Londrina,23265102,ventodir10m,2021-07-13 18:15:00,112.6
Londrina,23265102,ventodir10m,2021-07-13 18:30:00,102.5
Londrina,23265102,ventodir10m,2021-07-13 18:45:00,107.6
Londrina,23265102,ventodir10m,2021-07-13 19:00:00,106.4
Londrina,23265102,ventodir10m,2021-07-13 19:15:00,106.1
Londrina,23265102,ventodir10m,2021-07-13 19:30:00,120.7
Londrina,23265102,ventodir10m,2021-07-13 19:45:00,133.8
Londrina,23265102,ventodir10m,2021-07-13 20:00:00,163.6
Londrina,23265102,ventodir10m,2021-07-13 20:15:00,158.4
Londrina,23265102,ventodir10m,2021-07-13 20:30:00,145.6
Londrina,23265102,ventodir10m,2021-07-13 20:45:00,144.8
Londrina,23265102,ventodir10m,2021-07-13 21:00:00,139.1
Londrina,23265102,ventodir10m,2021-07-13 21:15:00,142.9
Londrina,23265102,ventodir10m,2021-07-13 21:30:00,160.7
Londrina,23265102,ventodir10m,2021-07-13 21:45:00,226.8
Londrina,23265102,ventodir10m,2021-07-13 22:00:00,267.8
Londrina,23265102,ventodir10m,2021-07-13 22:15:00,266.4
Londrina,23265102,ventodir10m,2021-07-13 22:30:00,230.1
Londrina,23265102,ventodir10m,2021-07-13 22:45:00,269.0
Londrina,23265102,ventodir10m,2021-07-13 23:00:00,242.1
Londrina,23265102,ventodir10m,2021-07-13 23:15:00,252.7
Londrina,23265102,ventodir10m,2021-07-13 23:30:00,266.4
Londrina,23265102,ventodir10m,2021-07-13 23:45:00,261.2
Londrina,23265102,ventodir10m,2021-07-14 00:00:00,257.2
Londrina,23265102,ventodir10m,2021-07-14 00:15:00,255.7
Londrina,23265102,ventodir10m,2021-07-14 00:30:00,250.6
Londrina,23265102,ventodir10m,2021-07-14 00:45:00,266.5
Londrina,23265102,ventodir10m,2021-07-14 01:00:00,247.8
Londrina,23265102,ventodir10m,2021-07-14 01:15:00,244.3
Londrina,23265102,ventodir10m,2021-07-14 01:30:00,222.2
Londrina,23265102,ventodir10m,2021-07-14 01:45:00,255.0
Londrina,23265102,ventodir10m,2021-07-14 02:00:00,257.4
Londrina,23265102,ventodir10m,2021-07-14 02:15:00,256.7
Londrina,23265102,ventodir10m,2021-07-14 02:30:00,254.9
Londrina,23265102,ventodir10m,2021-07-14 02:45:00,259.7
Londrina,23265102,ventodir10m,2021-07-14 03:00:00,277.1
Londrina,23265102,ventodir10m,2021-07-14 03:15:00,266.2
Londrina,23265102,ventodir10m,2021-07-14 03:30:00,274.5
Londrina,23265102,ventodir10m,2021-07-14 03:45:00,271.3
Londrina,23265102,ventodir10m,2021-07-14 04:00:00,262.0
Londrina,23265102,ventodir10m,2021-07-14 04:15:00,245.2
Londrina,23265102,ventodir10m,2021-07-14 04:30:00,253.1
Londrina,23265102,ventodir10m,2021-07-14 04:45:00,234.8
Londrina,23265102,ventodir10m,2021-07-14 05:00:00,179.7
Londrina,23265102,ventodir10m,2021-07-14 05:15:00,168.2
Londrina,23265102,ventodir10m,2021-07-14 05:30:00,225.6
Londrina,23265102,ventodir10m,2021-07-14 05:45:00,236.7
Londrina,23265102,ventodir10m,2021-07-14 06:00:00,190.6
Londrina,23265102,ventodir10m,2021-07-14 06:15:00,230.0
Londrina,23265102,ventodir10m,2021-07-14 06:30:00,250.3
Londrina,23265102,ventodir10m,2021-07-14 06:45:00,0.0
Londrina,23265102,ventodir10m,2021-07-14 07:00:00,0.0
Londrina,23265102,ventodir10m,2021-07-14 07:15:00,0.0
Londrina,23265102,ventodir10m,2021-07-14 07:30:00,0.0
