cidade,id_cidade,sensor,data,valor
Londrina,23265102,ventovel10m,2021-01-01 00:00:00,1.201
Londrina,23265102,ventovel10m,2021-01-01 00:15:00,0.88
Londrina,23265102,ventovel10m,2021-01-01 00:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 00:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 01:00:00,0.01
Londrina,23265102,ventovel10m,2021-01-01 01:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 01:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 01:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 02:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 02:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 02:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 02:45:00,0.16
Londrina,23265102,ventovel10m,2021-01-01 03:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 03:15:00,0.68
Londrina,23265102,ventovel10m,2021-01-01 03:30:00,1.267
Londrina,23265102,ventovel10m,2021-01-01 03:45:00,0.66
Londrina,23265102,ventovel10m,2021-01-01 04:00:00,1.105
Londrina,23265102,ventovel10m,2021-01-01 04:15:00,0.42
Londrina,23265102,ventovel10m,2021-01-01 04:30:00,0.41
Londrina,23265102,ventovel10m,2021-01-01 04:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 05:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 05:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 05:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 05:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 06:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 06:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 06:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 06:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 07:00:00,0.44
Londrina,23265102,ventovel10m,2021-01-01 07:15:00,1.146
Londrina,23265102,ventovel10m,2021-01-01 07:30:00,1.046
Londrina,23265102,ventovel10m,2021-01-01 07:45:00,0.97
Londrina,23265102,ventovel10m,2021-01-01 08:00:00,1.23
Londrina,23265102,ventovel10m,2021-01-01 08:15:00,1.278
Londrina,23265102,ventovel10m,2021-01-01 08:30:00,0.07
Londrina,23265102,ventovel10m,2021-01-01 08:45:00,1.55
Londrina,23265102,ventovel10m,2021-01-01 09:00:00,0.68
Londrina,23265102,ventovel10m,2021-01-01 09:15:00,0.67
Londrina,23265102,ventovel10m,2021-01-01 09:30:00,0.41
Londrina,23265102,ventovel10m,2021-01-01 09:45:00,1.946
Londrina,23265102,ventovel10m,2021-01-01 10:00:00,1.998
Londrina,23265102,ventovel10m,2021-01-01 10:15:00,0.79
Londrina,23265102,ventovel10m,2021-01-01 10:30:00,0.58
Londrina,23265102,ventovel10m,2021-01-01 10:45:00,0.75
Londrina,23265102,ventovel10m,2021-01-01 11:00:00,1.223
Londrina,23265102,ventovel10m,2021-01-01 11:15:00,1.056
Londrina,23265102,ventovel10m,2021-01-01 11:30:00,1.844
Londrina,23265102,ventovel10m,2021-01-01 11:45:00,0.97
Londrina,23265102,ventovel10m,2021-01-01 12:00:00,1.576
Londrina,23265102,ventovel10m,2021-01-01 12:15:00,1.201
Londrina,23265102,ventovel10m,2021-01-01 12:30:00,0.8
Londrina,23265102,ventovel10m,2021-01-01 12:45:00,1.725
Londrina,23265102,ventovel10m,2021-01-01 13:00:00,2.179
Londrina,23265102,ventovel10m,2021-01-01 13:15:00,2.395
Londrina,23265102,ventovel10m,2021-01-01 13:30:00,2.224
Londrina,23265102,ventovel10m,2021-01-01 13:45:00,1.568
Londrina,23265102,ventovel10m,2021-01-01 14:00:00,1.251
Londrina,23265102,ventovel10m,2021-01-01 14:15:00,1.252
Londrina,23265102,ventovel10m,2021-01-01 14:30:00,1.934
Londrina,23265102,ventovel10m,2021-01-01 14:45:00,2.097
Londrina,23265102,ventovel10m,2021-01-01 15:00:00,2.93
Londrina,23265102,ventovel10m,2021-01-01 15:15:00,3.251
Londrina,23265102,ventovel10m,2021-01-01 15:30:00,2.717
Londrina,23265102,ventovel10m,2021-01-01 15:45:00,3.408
Londrina,23265102,ventovel10m,2021-01-01 16:00:00,3.025
Londrina,23265102,ventovel10m,2021-01-01 16:15:00,2.684
Londrina,23265102,ventovel10m,2021-01-01 16:30:00,2.099
Londrina,23265102,ventovel10m,2021-01-01 16:45:00,2.7030000000000003
Londrina,23265102,ventovel10m,2021-01-01 17:00:00,2.915
Londrina,23265102,ventovel10m,2021-01-01 17:15:00,2.525
Londrina,23265102,ventovel10m,2021-01-01 17:30:00,2.726
Londrina,23265102,ventovel10m,2021-01-01 17:45:00,1.883
Londrina,23265102,ventovel10m,2021-01-01 18:00:00,2.322
Londrina,23265102,ventovel10m,2021-01-01 18:15:00,1.099
Londrina,23265102,ventovel10m,2021-01-01 18:30:00,0.28
Londrina,23265102,ventovel10m,2021-01-01 18:45:00,0.32
Londrina,23265102,ventovel10m,2021-01-01 19:00:00,1.528
Londrina,23265102,ventovel10m,2021-01-01 19:15:00,1.293
Londrina,23265102,ventovel10m,2021-01-01 19:30:00,0.21
Londrina,23265102,ventovel10m,2021-01-01 19:45:00,1.506
Londrina,23265102,ventovel10m,2021-01-01 20:00:00,2.383
Londrina,23265102,ventovel10m,2021-01-01 20:15:00,1.216
Londrina,23265102,ventovel10m,2021-01-01 20:30:00,0.31
Londrina,23265102,ventovel10m,2021-01-01 20:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 21:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 21:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 21:30:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 21:45:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 22:00:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 22:15:00,0.0
Londrina,23265102,ventovel10m,2021-01-01 22:30:00,1.299
Londrina,23265102,ventovel10m,2021-01-01 22:45:00,2.827
Londrina,23265102,ventovel10m,2021-01-01 23:00:00,3.108
Londrina,23265102,ventovel10m,2021-01-01 23:15:00,4.377
