Cidade,Sensor,Data Início Treino,Hora1,Data Fim Treino / Início Teste,Hora2,Data Fim Teste,Hora3,Período Total,Score visual (Gabriel),"p, d, q",MAE,MSE,
Londrina,batmin,06/11,00:00,06/11,18:00,06/12,00:00,1 dia,3,"0,1,1","0,79","0,86",
Londrina,molfoliar1m_sec*,03/09,00:00,03/09,18:00,03/10,00:00,1 dia,4,"1,0,1","7,29","90,65",
Londrina,pressao*,03/17,00:00,03/17,18:00,03/18,00:00,1 dia,1,"2,0,2","0,76","0,7",
Londrina,raj10m,03/01,00:00,03/01,18:00,03/02,00:00,1 dia,2,"0,1,0","1,63","3,84",
Londrina,tempminar2m,01/02,00:00,01/02,18:00,01/03,00:00,1 dia,2,"0,1,1","4,2","19,67",
Londrina,tempsolocm2cm,05/29,00:00,05/29,18:00,05/30,00:00,1 dia,1,"3,1,2","1,32","2,53",
Londrina,tempsolonu100cm,04/21,00:00,04/21,18:00,04/22,00:00,1 dia,1,"2,2,1","0,12","0,02",
Londrina,tempsolonu20cm,04/21,00:00,04/21,18:00,04/22,00:00,1 dia,1,"1,2,1","0,05",0,
Londrina,tempsolonu40cm,04/24,00:00,04/24,18:00,04/25,00:00,1 dia,4,"2,0,1","0,55","0,5",
Londrina,ventodir10m,04/12,00:00,04/12,18:00,04/13,00:00,1 dia,4,"0,1,0","129,39","27215,11",
Londrina,ventovel10m,07/27,00:00,07/27,18:00,07/28,00:00,1 dia,2,"2,1,2","2,69","8,84",
Londrina,batmin,05/29,00:00,05/31,06:00,06/01,00:00,3 dias,3,"4,1,2","0,57","0,41",
Londrina,molfoliar1m_sec*,01/27,00:00,01/29,06:00,01/30,00:00,3 dias,3,"3,1,0",4,"52,51",
Londrina,pressao*,05/01,00:00,05/03,06:00,05/04,00:00,3 dias,4,"0,1,0","2,33","17,22",
Londrina,raj10m,05/30,00:00,06/01,06:00,06/02,00:00,3 dias,2,"2,1,4","2,65","10,72",
Londrina,tempminar2m,06/27,00:00,06/29,06:00,06/30,00:00,3 dias,2,"1,1,2","14,18","232,83",
Londrina,tempminrelva,07/28,00:00,07/30,06:00,07/31,00:00,3 dias,2,"3,1,0","11,78","203,21",
Londrina,tempsolocm2cm,01/12,00:00,01/14,06:00,01/15,00:00,3 dias,2,"2,0,2","6,78","67,47",
Londrina,tempsolonu100cm,05/09,00:00,05/11,06:00,05/12,00:00,3 dias,3,"4,1,1","0,21","0,06",
Londrina,tempsolonu20cm,05/08,00:00,05/10,06:00,05/11,00:00,3 dias,3,"0,1,3","0,43","0,49",
Londrina,tempsolonu40cm,04/29,00:00,05/01,06:00,05/02,00:00,3 dias,4,"1,0,0","0,89","1,83",
Londrina,ventodir10m,03/09,00:00,03/11,06:00,03/12,00:00,3 dias,5,"1,0,3","127,73","24040,56",
Londrina,ventovel10m,03/05,00:00,03/07,06:00,03/08,00:00,3 dias,3,"0,1,2","2,13","5,23",
Londrina,batmin,06/05,00:00,06/10,06:00,06/12,00:00,7 dias,3,"1,1,1","0,73","0,74",
Londrina,molfoliar1m_sec*,07/27,00:00,08/01,06:00,08/03,00:00,7 dias,3,"4,1,3","3,39","42,6",
Londrina,pressao*,06/10,00:00,06/15,06:00,06/17,00:00,7 dias,5,"2,1,2","1,31","3,96",
Londrina,raj10m,06/26,00:00,07/01,06:00,07/03,00:00,7 dias,2,"1,1,1","2,6","11,69",
Londrina,tempminar2m,04/26,00:00,05/01,06:00,05/03,00:00,7 dias,1,"4,0,1","5,03","33,64",
Londrina,tempsolocm2cm,07/13,00:00,07/18,06:00,07/20,00:00,7 dias,2,"4,0,1","11,52","176,66",
Londrina,tempsologra2cm,03/28,00:00,04/02,06:00,04/04,00:00,7 dias,2,"1,1,0","2,43","7,18",
Londrina,tempsolonu100cm,04/17,00:00,04/22,06:00,04/24,00:00,7 dias,5,"1,1,1","1,94","24,1",
Londrina,tempsolonu20cm,04/17,00:00,04/22,06:00,04/24,00:00,7 dias,5,"2,1,1","3,3","79,32",
Londrina,tempsolonu40cm,03/28,00:00,04/02,06:00,04/04,00:00,7 dias,5,"2,1,2","1,68","4,16",
Londrina,ventodir10m,07/13,00:00,07/18,06:00,07/20,00:00,7 dias,4,"2,0,1","104,84","15823,53",
Londrina,ventovel10m,01/01,00:00,01/06,06:00,01/08,00:00,7 dias,3,"2,1,2","1,87","5,55",
