"id_sample","id_sensor","value","date_ref"
"54",25,"13.12","2021-07-28 12:45:00"
"108",25,"13.11","2021-07-28 13:00:00"
"162",25,"13.11","2021-07-28 13:15:00"
"216",25,"13.11","2021-07-28 13:30:00"
"270",25,"13.12","2021-07-28 13:45:00"
"324",25,"13.12","2021-07-28 14:00:00"
"378",25,"13.12","2021-07-28 14:15:00"
"432",25,"13.1","2021-07-28 14:30:00"
"486",25,"13.13","2021-07-28 14:45:00"
"540",25,"13.13","2021-07-28 15:00:00"
"594",25,"13.12","2021-07-28 15:15:00"
"648",25,"13.15","2021-07-28 15:30:00"
"702",25,"13.12","2021-07-28 15:45:00"
"756",25,"13.14","2021-07-28 16:00:00"
"810",25,"13.14","2021-07-28 16:15:00"
"864",25,"13.16","2021-07-28 16:30:00"
"918",25,"13.16","2021-07-28 16:45:00"
"972",25,"13.18","2021-07-28 17:00:00"
"1026",25,"13.19","2021-07-28 17:15:00"
"1080",25,"13.2","2021-07-28 17:30:00"
"1134",25,"12.85","2021-07-28 17:45:00"
"1188",25,"12.5","2021-07-28 18:00:00"
"1242",25,"12.41","2021-07-28 18:15:00"
"1296",25,"12.37","2021-07-28 18:30:00"
"1350",25,"12.35","2021-07-28 18:45:00"
"1404",25,"12.34","2021-07-28 19:00:00"
"1458",25,"12.31","2021-07-28 19:15:00"
"1512",25,"12.32","2021-07-28 19:30:00"
"1566",25,"12.29","2021-07-28 19:45:00"
"1620",25,"12.29","2021-07-28 20:00:00"
"1674",25,"12.27","2021-07-28 20:15:00"
"1728",25,"12.27","2021-07-28 20:30:00"
"1782",25,"12.26","2021-07-28 20:45:00"
"1836",25,"12.24","2021-07-28 21:00:00"
"1890",25,"12.22","2021-07-28 21:15:00"
"1944",25,"12.23","2021-07-28 21:30:00"
"1998",25,"12.23","2021-07-28 21:45:00"
"2052",25,"12.21","2021-07-28 22:00:00"
"2106",25,"12.2","2021-07-28 22:15:00"
"2160",25,"12.19","2021-07-28 22:30:00"
"2214",25,"12.19","2021-07-28 22:45:00"
"2268",25,"12.19","2021-07-28 23:00:00"
"2322",25,"12.18","2021-07-28 23:15:00"
"2376",25,"12.16","2021-07-28 23:30:00"
"2430",25,"12.15","2021-07-28 23:45:00"
"2484",25,"12.16","2021-07-29 00:00:00"
"2538",25,"12.15","2021-07-29 00:15:00"
"2592",25,"12.15","2021-07-29 00:30:00"
"2646",25,"12.13","2021-07-29 00:45:00"
"2700",25,"12.12","2021-07-29 01:00:00"
"2754",25,"12.11","2021-07-29 01:15:00"
"2808",25,"12.1","2021-07-29 01:30:00"
"2862",25,"12.1","2021-07-29 01:45:00"
"2916",25,"12.1","2021-07-29 02:00:00"
"2970",25,"12.08","2021-07-29 02:15:00"
"3024",25,"12.08","2021-07-29 02:30:00"
"3078",25,"12.07","2021-07-29 02:45:00"
"3132",25,"12.06","2021-07-29 03:00:00"
"3186",25,"12.05","2021-07-29 03:15:00"
"3240",25,"12.04","2021-07-29 03:30:00"
"3294",25,"12.03","2021-07-29 03:45:00"
"3348",25,"12.01","2021-07-29 04:00:00"
"3402",25,"12","2021-07-29 04:15:00"
"3456",25,"11.99","2021-07-29 04:30:00"
"3510",25,"11.99","2021-07-29 04:45:00"
"3564",25,"11.98","2021-07-29 05:00:00"
"3618",25,"11.94","2021-07-29 05:15:00"
"3672",25,"11.96","2021-07-29 05:30:00"
"3726",25,"11.95","2021-07-29 05:45:00"
"3780",25,"11.94","2021-07-29 06:00:00"
"3834",25,"11.91","2021-07-29 06:15:00"
"3888",25,"11.92","2021-07-29 06:30:00"
"3942",25,"11.89","2021-07-29 06:45:00"
"3996",25,"11.89","2021-07-29 07:00:00"
"4050",25,"11.88","2021-07-29 07:15:00"
"4104",25,"12.14","2021-07-29 07:30:00"
"4158",25,"12.58","2021-07-29 07:45:00"
"4212",25,"12.7","2021-07-29 08:00:00"
"4266",25,"12.98","2021-07-29 08:15:00"
"4320",25,"13.41","2021-07-29 08:30:00"
"4374",25,"13.34","2021-07-29 08:45:00"
"4428",25,"13.32","2021-07-29 09:00:00"
"4482",25,"13.3","2021-07-29 09:15:00"
"4536",25,"13.29","2021-07-29 09:30:00"
"4590",25,"13.29","2021-07-29 09:45:00"
"4644",25,"13.28","2021-07-29 10:00:00"
"4698",25,"13.26","2021-07-29 10:15:00"
"4752",25,"13.25","2021-07-29 10:30:00"
"4806",25,"13.25","2021-07-29 10:45:00"
"4860",25,"13.24","2021-07-29 11:00:00"
"4914",25,"13.21","2021-07-29 11:15:00"
"4968",25,"13.23","2021-07-29 11:30:00"
"5022",25,"13.23","2021-07-29 11:45:00"
"5076",25,"13.23","2021-07-29 12:00:00"
"5130",25,"13.21","2021-07-29 12:15:00"
"5184",25,"13.23","2021-07-29 12:30:00"
"5238",25,"13.21","2021-07-29 12:45:00"
"5292",25,"13.21","2021-07-29 13:00:00"
"5346",25,"13.18","2021-07-29 13:15:00"
"5400",25,"13.19","2021-07-29 13:30:00"
"5454",25,"13.18","2021-07-29 13:45:00"
"5508",25,"13.19","2021-07-29 14:00:00"
"5562",25,"13.17","2021-07-29 14:15:00"
"5616",25,"13.16","2021-07-29 14:30:00"
"5670",25,"13.16","2021-07-29 14:45:00"
"5724",25,"13.15","2021-07-29 15:00:00"
"5778",25,"13.13","2021-07-29 15:15:00"
"5832",25,"13.13","2021-07-29 15:30:00"
"5886",25,"13.15","2021-07-29 15:45:00"
"5940",25,"13.13","2021-07-29 16:00:00"
"5994",25,"13.14","2021-07-29 16:15:00"
"6048",25,"13.14","2021-07-29 16:30:00"
"6102",25,"13.14","2021-07-29 16:45:00"
"6156",25,"13.15","2021-07-29 17:00:00"
"6210",25,"13.17","2021-07-29 17:15:00"
"6264",25,"13.18","2021-07-29 17:30:00"
"6318",25,"12.98","2021-07-29 17:45:00"
"6372",25,"12.51","2021-07-29 18:00:00"
