"id_sample","id_sensor","value","date_ref"
"28",52,"15","2021-07-28 12:45:00"
"82",52,"15","2021-07-28 13:00:00"
"136",52,"15","2021-07-28 13:15:00"
"190",52,"15","2021-07-28 13:30:00"
"244",52,"15","2021-07-28 13:45:00"
"298",52,"15","2021-07-28 14:00:00"
"352",52,"15","2021-07-28 14:15:00"
"406",52,"15","2021-07-28 14:30:00"
"460",52,"15","2021-07-28 14:45:00"
"514",52,"15","2021-07-28 15:00:00"
"568",52,"15","2021-07-28 15:15:00"
"622",52,"15","2021-07-28 15:30:00"
"676",52,"15","2021-07-28 15:45:00"
"730",52,"15","2021-07-28 16:00:00"
"784",52,"15","2021-07-28 16:15:00"
"838",52,"15","2021-07-28 16:30:00"
"892",52,"15","2021-07-28 16:45:00"
"946",52,"15","2021-07-28 17:00:00"
"1000",52,"15","2021-07-28 17:15:00"
"1054",52,"15","2021-07-28 17:30:00"
"1108",52,"15","2021-07-28 17:45:00"
"1162",52,"15","2021-07-28 18:00:00"
"1216",52,"15","2021-07-28 18:15:00"
"1270",52,"15","2021-07-28 18:30:00"
"1324",52,"15","2021-07-28 18:45:00"
"1378",52,"15","2021-07-28 19:00:00"
"1432",52,"15","2021-07-28 19:15:00"
"1486",52,"15","2021-07-28 19:30:00"
"1540",52,"15","2021-07-28 19:45:00"
"1594",52,"15","2021-07-28 20:00:00"
"1648",52,"15","2021-07-28 20:15:00"
"1702",52,"15","2021-07-28 20:30:00"
"1756",52,"15","2021-07-28 20:45:00"
"1810",52,"15","2021-07-28 21:00:00"
"1864",52,"15","2021-07-28 21:15:00"
"1918",52,"15","2021-07-28 21:30:00"
"1972",52,"15","2021-07-28 21:45:00"
"2026",52,"15","2021-07-28 22:00:00"
"2080",52,"15","2021-07-28 22:15:00"
"2134",52,"15","2021-07-28 22:30:00"
"2188",52,"15","2021-07-28 22:45:00"
"2242",52,"15","2021-07-28 23:00:00"
"2296",52,"15","2021-07-28 23:15:00"
"2350",52,"15","2021-07-28 23:30:00"
"2404",52,"15","2021-07-28 23:45:00"
"2458",52,"15","2021-07-29 00:00:00"
"2512",52,"15","2021-07-29 00:15:00"
"2566",52,"15","2021-07-29 00:30:00"
"2620",52,"15","2021-07-29 00:45:00"
"2674",52,"15","2021-07-29 01:00:00"
"2728",52,"15","2021-07-29 01:15:00"
"2782",52,"15","2021-07-29 01:30:00"
"2836",52,"15","2021-07-29 01:45:00"
"2890",52,"15","2021-07-29 02:00:00"
"2944",52,"15","2021-07-29 02:15:00"
"2998",52,"15","2021-07-29 02:30:00"
"3052",52,"15","2021-07-29 02:45:00"
"3106",52,"15","2021-07-29 03:00:00"
"3160",52,"15","2021-07-29 03:15:00"
"3214",52,"15","2021-07-29 03:30:00"
"3268",52,"15","2021-07-29 03:45:00"
"3322",52,"15","2021-07-29 04:00:00"
"3376",52,"15","2021-07-29 04:15:00"
"3430",52,"15","2021-07-29 04:30:00"
"3484",52,"15","2021-07-29 04:45:00"
"3538",52,"15","2021-07-29 05:00:00"
"3592",52,"15","2021-07-29 05:15:00"
"3646",52,"15","2021-07-29 05:30:00"
"3700",52,"15","2021-07-29 05:45:00"
"3754",52,"15","2021-07-29 06:00:00"
"3808",52,"15","2021-07-29 06:15:00"
"3862",52,"15","2021-07-29 06:30:00"
"3916",52,"15","2021-07-29 06:45:00"
"3970",52,"15","2021-07-29 07:00:00"
"4024",52,"15","2021-07-29 07:15:00"
"4078",52,"15","2021-07-29 07:30:00"
"4132",52,"15","2021-07-29 07:45:00"
"4186",52,"15","2021-07-29 08:00:00"
"4240",52,"15","2021-07-29 08:15:00"
"4294",52,"15","2021-07-29 08:30:00"
"4348",52,"15","2021-07-29 08:45:00"
"4402",52,"15","2021-07-29 09:00:00"
"4456",52,"15","2021-07-29 09:15:00"
"4510",52,"15","2021-07-29 09:30:00"
"4564",52,"15","2021-07-29 09:45:00"
"4618",52,"15","2021-07-29 10:00:00"
"4672",52,"15","2021-07-29 10:15:00"
"4726",52,"15","2021-07-29 10:30:00"
"4780",52,"15","2021-07-29 10:45:00"
"4834",52,"15","2021-07-29 11:00:00"
"4888",52,"15","2021-07-29 11:15:00"
"4942",52,"15","2021-07-29 11:30:00"
"4996",52,"15","2021-07-29 11:45:00"
"5050",52,"15","2021-07-29 12:00:00"
"5104",52,"15","2021-07-29 12:15:00"
"5158",52,"15","2021-07-29 12:30:00"
"5212",52,"15","2021-07-29 12:45:00"
"5266",52,"15","2021-07-29 13:00:00"
"5320",52,"15","2021-07-29 13:15:00"
"5374",52,"15","2021-07-29 13:30:00"
"5428",52,"15","2021-07-29 13:45:00"
"5482",52,"15","2021-07-29 14:00:00"
"5536",52,"15","2021-07-29 14:15:00"
"5590",52,"15","2021-07-29 14:30:00"
"5644",52,"8.3","2021-07-29 14:45:00"
"5698",52,"7.3","2021-07-29 15:00:00"
"5752",52,"15","2021-07-29 15:15:00"
"5806",52,"15","2021-07-29 15:30:00"
"5860",52,"15","2021-07-29 15:45:00"
"5914",52,"15","2021-07-29 16:00:00"
"5968",52,"15","2021-07-29 16:15:00"
"6022",52,"15","2021-07-29 16:30:00"
"6076",52,"15","2021-07-29 16:45:00"
"6130",52,"15","2021-07-29 17:00:00"
"6184",52,"15","2021-07-29 17:15:00"
"6238",52,"15","2021-07-29 17:30:00"
"6292",52,"15","2021-07-29 17:45:00"
"6346",52,"15","2021-07-29 18:00:00"
"6400",52,"15","2021-07-29 18:15:00"
"6454",52,"15","2021-07-29 18:30:00"
"6508",52,"15","2021-07-29 18:45:00"
"6562",52,"15","2021-07-29 19:00:00"
"6616",52,"15","2021-07-29 19:15:00"
"6670",52,"15","2021-07-29 19:30:00"
"6724",52,"15","2021-07-29 19:45:00"
"6778",52,"15","2021-07-29 20:00:00"
"6832",52,"15","2021-07-29 20:15:00"
"6886",52,"15","2021-07-29 20:30:00"
"6940",52,"15","2021-07-29 20:45:00"
"6994",52,"15","2021-07-29 21:00:00"
"7048",52,"15","2021-07-29 21:15:00"
"7102",52,"15","2021-07-29 21:30:00"
"7156",52,"15","2021-07-29 21:45:00"
"7210",52,"15","2021-07-29 22:00:00"
"7264",52,"15","2021-07-29 22:15:00"
"7318",52,"15","2021-07-29 22:30:00"
"7372",52,"15","2021-07-29 22:45:00"
"7426",52,"15","2021-07-29 23:00:00"
"7480",52,"15","2021-07-29 23:15:00"
"7534",52,"15","2021-07-29 23:30:00"
"7588",52,"15","2021-07-29 23:45:00"
"7642",52,"15","2021-07-30 00:00:00"
"7696",52,"15","2021-07-30 00:15:00"
"7750",52,"15","2021-07-30 00:30:00"
"7804",52,"15","2021-07-30 00:45:00"
"7858",52,"15","2021-07-30 01:00:00"
"7912",52,"15","2021-07-30 01:15:00"
"7966",52,"15","2021-07-30 01:30:00"
"8020",52,"15","2021-07-30 01:45:00"
"8074",52,"15","2021-07-30 02:00:00"
"8128",52,"15","2021-07-30 02:15:00"
"8182",52,"15","2021-07-30 02:30:00"
"8236",52,"15","2021-07-30 02:45:00"
"8290",52,"15","2021-07-30 03:00:00"
"8344",52,"15","2021-07-30 03:15:00"
"8398",52,"15","2021-07-30 03:30:00"
"8452",52,"15","2021-07-30 03:45:00"
"8506",52,"15","2021-07-30 04:00:00"
"8560",52,"15","2021-07-30 04:15:00"
"8614",52,"15","2021-07-30 04:30:00"
"8668",52,"15","2021-07-30 04:45:00"
"8722",52,"15","2021-07-30 05:00:00"
"8776",52,"15","2021-07-30 05:15:00"
"8830",52,"15","2021-07-30 05:30:00"
"8884",52,"15","2021-07-30 05:45:00"
"8938",52,"15","2021-07-30 06:00:00"
"8992",52,"13.5","2021-07-30 06:15:00"
"9046",52,"15","2021-07-30 06:30:00"
"9100",52,"15","2021-07-30 06:45:00"
"9154",52,"15","2021-07-30 07:00:00"
"9208",52,"15","2021-07-30 07:15:00"
"9262",52,"15","2021-07-30 07:30:00"
"9316",52,"15","2021-07-30 07:45:00"
"9370",52,"15","2021-07-30 08:00:00"
"9424",52,"15","2021-07-30 08:15:00"
"9478",52,"15","2021-07-30 08:30:00"
"9532",52,"15","2021-07-30 08:45:00"
"9586",52,"15","2021-07-30 09:00:00"
"9640",52,"15","2021-07-30 09:15:00"
"9694",52,"15","2021-07-30 09:30:00"
"9748",52,"15","2021-07-30 09:45:00"
"9802",52,"15","2021-07-30 10:00:00"
"9856",52,"15","2021-07-30 10:15:00"
"9910",52,"15","2021-07-30 10:30:00"
"9964",52,"15","2021-07-30 10:45:00"
"10018",52,"15","2021-07-30 11:00:00"
"10072",52,"15","2021-07-30 11:15:00"
"10126",52,"15","2021-07-30 11:30:00"
"10180",52,"15","2021-07-30 11:45:00"
"10234",52,"15","2021-07-30 12:00:00"
"10288",52,"15","2021-07-30 12:15:00"
"10342",52,"15","2021-07-30 12:30:00"
"10396",52,"15","2021-07-30 12:45:00"
"10450",52,"15","2021-07-30 13:00:00"
"10504",52,"15","2021-07-30 13:15:00"
"10558",52,"15","2021-07-30 13:30:00"
"10612",52,"15","2021-07-30 13:45:00"
"10666",52,"15","2021-07-30 14:00:00"
"10720",52,"15","2021-07-30 14:15:00"
"10774",52,"15","2021-07-30 14:30:00"
"10828",52,"15","2021-07-30 14:45:00"
"10882",52,"15","2021-07-30 15:00:00"
"10936",52,"15","2021-07-30 15:15:00"
"10990",52,"15","2021-07-30 15:30:00"
"11044",52,"15","2021-07-30 15:45:00"
"11098",52,"15","2021-07-30 16:00:00"
"11152",52,"15","2021-07-30 16:15:00"
"11206",52,"15","2021-07-30 16:30:00"
"11260",52,"15","2021-07-30 16:45:00"
"11314",52,"15","2021-07-30 17:00:00"
"11368",52,"15","2021-07-30 17:15:00"
"11422",52,"15","2021-07-30 17:30:00"
"11476",52,"15","2021-07-30 17:45:00"
"11530",52,"15","2021-07-30 18:00:00"
"11584",52,"15","2021-07-30 18:15:00"
"11638",52,"15","2021-07-30 18:30:00"
"11692",52,"15","2021-07-30 18:45:00"
"11746",52,"15","2021-07-30 19:00:00"
"11800",52,"15","2021-07-30 19:15:00"
"11854",52,"15","2021-07-30 19:30:00"
"11908",52,"15","2021-07-30 19:45:00"
"11962",52,"15","2021-07-30 20:00:00"
"12016",52,"15","2021-07-30 20:15:00"
"12070",52,"15","2021-07-30 20:30:00"
"12124",52,"15","2021-07-30 20:45:00"
"12178",52,"15","2021-07-30 21:00:00"
"12232",52,"15","2021-07-30 21:15:00"
"12286",52,"15","2021-07-30 21:30:00"
"12340",52,"15","2021-07-30 21:45:00"
"12394",52,"15","2021-07-30 22:00:00"
"12448",52,"15","2021-07-30 22:15:00"
"12502",52,"15","2021-07-30 22:30:00"
"12556",52,"15","2021-07-30 22:45:00"
"12610",52,"15","2021-07-30 23:00:00"
"12664",52,"15","2021-07-30 23:15:00"
"12718",52,"15","2021-07-30 23:30:00"
"12772",52,"15","2021-07-30 23:45:00"
"12826",52,"15","2021-07-31 00:00:00"
"12880",52,"15","2021-07-31 00:15:00"
"12934",52,"15","2021-07-31 00:30:00"
"12988",52,"15","2021-07-31 00:45:00"
"13042",52,"15","2021-07-31 01:00:00"
"13096",52,"15","2021-07-31 01:15:00"
"13150",52,"15","2021-07-31 01:30:00"
"13204",52,"15","2021-07-31 01:45:00"
"13258",52,"15","2021-07-31 02:00:00"
"13312",52,"15","2021-07-31 02:15:00"
"13366",52,"15","2021-07-31 02:30:00"
"13420",52,"15","2021-07-31 02:45:00"
"13474",52,"15","2021-07-31 03:00:00"
"13528",52,"15","2021-07-31 03:15:00"
"13582",52,"15","2021-07-31 03:30:00"
"13636",52,"15","2021-07-31 03:45:00"
"13690",52,"15","2021-07-31 04:00:00"
"13744",52,"15","2021-07-31 04:15:00"
"13798",52,"15","2021-07-31 04:30:00"
"13852",52,"15","2021-07-31 04:45:00"
"13906",52,"15","2021-07-31 05:00:00"
"13960",52,"15","2021-07-31 05:15:00"
"14014",52,"15","2021-07-31 05:30:00"
"14068",52,"15","2021-07-31 05:45:00"
"14122",52,"15","2021-07-31 06:00:00"
