"id_sample","id_sensor","value","date_ref"
"13",21,"954","2021-07-28 12:45:00"
"67",21,"954","2021-07-28 13:00:00"
"121",21,"954","2021-07-28 13:15:00"
"175",21,"954","2021-07-28 13:30:00"
"229",21,"954","2021-07-28 13:45:00"
"283",21,"954","2021-07-28 14:00:00"
"337",21,"953","2021-07-28 14:15:00"
"391",21,"953","2021-07-28 14:30:00"
"445",21,"953","2021-07-28 14:45:00"
"499",21,"953","2021-07-28 15:00:00"
"553",21,"953","2021-07-28 15:15:00"
"607",21,"953","2021-07-28 15:30:00"
"661",21,"953","2021-07-28 15:45:00"
"715",21,"953","2021-07-28 16:00:00"
"769",21,"953","2021-07-28 16:15:00"
"823",21,"953","2021-07-28 16:30:00"
"877",21,"953","2021-07-28 16:45:00"
"931",21,"953","2021-07-28 17:00:00"
"985",21,"954","2021-07-28 17:15:00"
"1039",21,"954","2021-07-28 17:30:00"
"1093",21,"954","2021-07-28 17:45:00"
"1147",21,"954","2021-07-28 18:00:00"
"1201",21,"954","2021-07-28 18:15:00"
"1255",21,"954","2021-07-28 18:30:00"
"1309",21,"954","2021-07-28 18:45:00"
"1363",21,"954","2021-07-28 19:00:00"
"1417",21,"954","2021-07-28 19:15:00"
"1471",21,"954","2021-07-28 19:30:00"
"1525",21,"954","2021-07-28 19:45:00"
"1579",21,"955","2021-07-28 20:00:00"
"1633",21,"955","2021-07-28 20:15:00"
"1687",21,"955","2021-07-28 20:30:00"
"1741",21,"955","2021-07-28 20:45:00"
"1795",21,"955","2021-07-28 21:00:00"
"1849",21,"955","2021-07-28 21:15:00"
"1903",21,"955","2021-07-28 21:30:00"
"1957",21,"956","2021-07-28 21:45:00"
"2011",21,"956","2021-07-28 22:00:00"
"2065",21,"956","2021-07-28 22:15:00"
"2119",21,"956","2021-07-28 22:30:00"
"2173",21,"956","2021-07-28 22:45:00"
"2227",21,"956","2021-07-28 23:00:00"
"2281",21,"956","2021-07-28 23:15:00"
"2335",21,"956","2021-07-28 23:30:00"
"2389",21,"957","2021-07-28 23:45:00"
"2443",21,"957","2021-07-29 00:00:00"
"2497",21,"957","2021-07-29 00:15:00"
"2551",21,"957","2021-07-29 00:30:00"
"2605",21,"957","2021-07-29 00:45:00"
"2659",21,"957","2021-07-29 01:00:00"
"2713",21,"957","2021-07-29 01:15:00"
"2767",21,"957","2021-07-29 01:30:00"
"2821",21,"957","2021-07-29 01:45:00"
"2875",21,"956","2021-07-29 02:00:00"
"2929",21,"956","2021-07-29 02:15:00"
"2983",21,"956","2021-07-29 02:30:00"
"3037",21,"956","2021-07-29 02:45:00"
"3091",21,"956","2021-07-29 03:00:00"
"3145",21,"956","2021-07-29 03:15:00"
"3199",21,"956","2021-07-29 03:30:00"
"3253",21,"956","2021-07-29 03:45:00"
"3307",21,"956","2021-07-29 04:00:00"
"3361",21,"956","2021-07-29 04:15:00"
"3415",21,"956","2021-07-29 04:30:00"
"3469",21,"956","2021-07-29 04:45:00"
"3523",21,"956","2021-07-29 05:00:00"
"3577",21,"956","2021-07-29 05:15:00"
"3631",21,"956","2021-07-29 05:30:00"
"3685",21,"956","2021-07-29 05:45:00"
"3739",21,"956","2021-07-29 06:00:00"
"3793",21,"956","2021-07-29 06:15:00"
"3847",21,"956","2021-07-29 06:30:00"
"3901",21,"956","2021-07-29 06:45:00"
"3955",21,"956","2021-07-29 07:00:00"
"4009",21,"957","2021-07-29 07:15:00"
"4063",21,"957","2021-07-29 07:30:00"
"4117",21,"957","2021-07-29 07:45:00"
"4171",21,"957","2021-07-29 08:00:00"
"4225",21,"957","2021-07-29 08:15:00"
