"id_sample","id_sensor","value","date_ref"
"3",13,"7.25","2021-07-28 12:45:00"
"57",13,"6.425","2021-07-28 13:00:00"
"111",13,"6.875","2021-07-28 13:15:00"
"165",13,"7.4","2021-07-28 13:30:00"
"219",13,"7.1","2021-07-28 13:45:00"
"273",13,"7.475","2021-07-28 14:00:00"
"327",13,"6.725","2021-07-28 14:15:00"
"381",13,"7.775","2021-07-28 14:30:00"
"435",13,"7.85","2021-07-28 14:45:00"
"489",13,"5.45","2021-07-28 15:00:00"
"543",13,"6.2","2021-07-28 15:15:00"
"597",13,"6.95","2021-07-28 15:30:00"
"651",13,"7.475","2021-07-28 15:45:00"
"705",13,"8.45","2021-07-28 16:00:00"
"759",13,"7.325","2021-07-28 16:15:00"
"813",13,"8.15","2021-07-28 16:30:00"
"867",13,"7.85","2021-07-28 16:45:00"
"921",13,"7.175","2021-07-28 17:00:00"
"975",13,"7.4","2021-07-28 17:15:00"
"1029",13,"5.975","2021-07-28 17:30:00"
"1083",13,"5.3","2021-07-28 17:45:00"
"1137",13,"5.375","2021-07-28 18:00:00"
"1191",13,"3.725","2021-07-28 18:15:00"
"1245",13,"3.275","2021-07-28 18:30:00"
"1299",13,"3.575","2021-07-28 18:45:00"
"1353",13,"3.95","2021-07-28 19:00:00"
"1407",13,"5.15","2021-07-28 19:15:00"
"1461",13,"5.6","2021-07-28 19:30:00"
"1515",13,"6.575","2021-07-28 19:45:00"
"1569",13,"5.975","2021-07-28 20:00:00"
"1623",13,"5.225","2021-07-28 20:15:00"
"1677",13,"4.775","2021-07-28 20:30:00"
"1731",13,"4.775","2021-07-28 20:45:00"
"1785",13,"5.525","2021-07-28 21:00:00"
"1839",13,"4.85","2021-07-28 21:15:00"
"1893",13,"5.525","2021-07-28 21:30:00"
"1947",13,"5.75","2021-07-28 21:45:00"
"2001",13,"5.15","2021-07-28 22:00:00"
"2055",13,"5.375","2021-07-28 22:15:00"
"2109",13,"4.925","2021-07-28 22:30:00"
"2163",13,"4.025","2021-07-28 22:45:00"
"2217",13,"4.475","2021-07-28 23:00:00"
"2271",13,"5.375","2021-07-28 23:15:00"
