"id_sample","id_sensor","value","date_ref"
"16",51,"10.76","2021-07-28 12:45:00"
"70",51,"10.66","2021-07-28 13:00:00"
"124",51,"10.71","2021-07-28 13:15:00"
"178",51,"10.27","2021-07-28 13:30:00"
"232",51,"10.41","2021-07-28 13:45:00"
"286",51,"10.81","2021-07-28 14:00:00"
"340",51,"10.81","2021-07-28 14:15:00"
"394",51,"10.8","2021-07-28 14:30:00"
"448",51,"11.51","2021-07-28 14:45:00"
"502",51,"11.84","2021-07-28 15:00:00"
"556",51,"12.11","2021-07-28 15:15:00"
"610",51,"12.63","2021-07-28 15:30:00"
"664",51,"12.44","2021-07-28 15:45:00"
"718",51,"12.48","2021-07-28 16:00:00"
"772",51,"12.56","2021-07-28 16:15:00"
"826",51,"12.32","2021-07-28 16:30:00"
"880",51,"12.18","2021-07-28 16:45:00"
"934",51,"11.92","2021-07-28 17:00:00"
"988",51,"11.62","2021-07-28 17:15:00"
"1042",51,"11.19","2021-07-28 17:30:00"
"1096",51,"10.51","2021-07-28 17:45:00"
"1150",51,"9.86","2021-07-28 18:00:00"
"1204",51,"8.97","2021-07-28 18:15:00"
"1258",51,"8.45","2021-07-28 18:30:00"
"1312",51,"8.1","2021-07-28 18:45:00"
"1366",51,"7.652","2021-07-28 19:00:00"
"1420",51,"7.642","2021-07-28 19:15:00"
"1474",51,"8.14","2021-07-28 19:30:00"
"1528",51,"8.13","2021-07-28 19:45:00"
"1582",51,"7.45","2021-07-28 20:00:00"
"1636",51,"7.016","2021-07-28 20:15:00"
"1690",51,"6.633","2021-07-28 20:30:00"
"1744",51,"6.5120000000000005","2021-07-28 20:45:00"
"1798",51,"6.5","2021-07-28 21:00:00"
"1852",51,"6.602","2021-07-28 21:15:00"
"1906",51,"6.37","2021-07-28 21:30:00"
"1960",51,"6.178","2021-07-28 21:45:00"
"2014",51,"6.128","2021-07-28 22:00:00"
"2068",51,"6.007","2021-07-28 22:15:00"
"2122",51,"5.633","2021-07-28 22:30:00"
"2176",51,"5.491","2021-07-28 22:45:00"
"2230",51,"5.542","2021-07-28 23:00:00"
"2284",51,"5.29","2021-07-28 23:15:00"
"2338",51,"5.038","2021-07-28 23:30:00"
"2392",51,"4.976","2021-07-28 23:45:00"
"2446",51,"5.088","2021-07-29 00:00:00"
"2500",51,"5.238","2021-07-29 00:15:00"
"2554",51,"5.209","2021-07-29 00:30:00"
"2608",51,"4.775","2021-07-29 00:45:00"
"2662",51,"4.411","2021-07-29 01:00:00"
"2716",51,"3.987","2021-07-29 01:15:00"
"2770",51,"3.8040000000000003","2021-07-29 01:30:00"
"2824",51,"3.623","2021-07-29 01:45:00"
"2878",51,"3.644","2021-07-29 02:00:00"
"2932",51,"3.2800000000000002","2021-07-29 02:15:00"
"2986",51,"2.956","2021-07-29 02:30:00"
"3040",51,"2.633","2021-07-29 02:45:00"
"3094",51,"2.45","2021-07-29 03:00:00"
"3148",51,"2.309","2021-07-29 03:15:00"
"3202",51,"2.208","2021-07-29 03:30:00"
"3256",51,"1.834","2021-07-29 03:45:00"
"3310",51,"1.5","2021-07-29 04:00:00"
"3364",51,"1.5","2021-07-29 04:15:00"
"3418",51,"1.439","2021-07-29 04:30:00"
"3472",51,"1.52","2021-07-29 04:45:00"
"3526",51,"1.258","2021-07-29 05:00:00"
"3580",51,"0.99","2021-07-29 05:15:00"
"3634",51,"1.056","2021-07-29 05:30:00"
"3688",51,"0.91","2021-07-29 05:45:00"
"3742",51,"1.004","2021-07-29 06:00:00"
"3796",51,"0.85","2021-07-29 06:15:00"
"3850",51,"0.44","2021-07-29 06:30:00"
"3904",51,"-0.12","2021-07-29 06:45:00"
"3958",51,"-0.16","2021-07-29 07:00:00"
"4012",51,"-0.26","2021-07-29 07:15:00"
"4066",51,"0.15","2021-07-29 07:30:00"
"4120",51,"0.17","2021-07-29 07:45:00"
"4174",51,"0.06","2021-07-29 08:00:00"
"4228",51,"0.08","2021-07-29 08:15:00"
"4282",51,"1.48","2021-07-29 08:30:00"
"4336",51,"2.5220000000000002","2021-07-29 08:45:00"
"4390",51,"2.814","2021-07-29 09:00:00"
"4444",51,"4.118","2021-07-29 09:15:00"
"4498",51,"4.351","2021-07-29 09:30:00"
"4552",51,"4.986","2021-07-29 09:45:00"
"4606",51,"5.462","2021-07-29 10:00:00"
"4660",51,"6.057","2021-07-29 10:15:00"
"4714",51,"6.452","2021-07-29 10:30:00"
"4768",51,"6.854","2021-07-29 10:45:00"
"4822",51,"6.673","2021-07-29 11:00:00"
"4876",51,"6.844","2021-07-29 11:15:00"
"4930",51,"7.51","2021-07-29 11:30:00"
"4984",51,"7.965","2021-07-29 11:45:00"
"5038",51,"8.47","2021-07-29 12:00:00"
"5092",51,"8.51","2021-07-29 12:15:00"
"5146",51,"9.09","2021-07-29 12:30:00"
"5200",51,"9.46","2021-07-29 12:45:00"
"5254",51,"9.87","2021-07-29 13:00:00"
"5308",51,"10.1","2021-07-29 13:15:00"
"5362",51,"10.42","2021-07-29 13:30:00"
"5416",51,"10.97","2021-07-29 13:45:00"
"5470",51,"10.87","2021-07-29 14:00:00"
"5524",51,"11.47","2021-07-29 14:15:00"
"5578",51,"11.53","2021-07-29 14:30:00"
"5632",51,"12.07","2021-07-29 14:45:00"
"5686",51,"12.55","2021-07-29 15:00:00"
"5740",51,"12.81","2021-07-29 15:15:00"
"5794",51,"12.63","2021-07-29 15:30:00"
"5848",51,"12.78","2021-07-29 15:45:00"
"5902",51,"12.92","2021-07-29 16:00:00"
"5956",51,"12.82","2021-07-29 16:15:00"
"6010",51,"12.88","2021-07-29 16:30:00"
"6064",51,"12.67","2021-07-29 16:45:00"
"6118",51,"12.24","2021-07-29 17:00:00"
"6172",51,"12.08","2021-07-29 17:15:00"
"6226",51,"11.37","2021-07-29 17:30:00"
"6280",51,"10.67","2021-07-29 17:45:00"
"6334",51,"9.41","2021-07-29 18:00:00"
"6388",51,"8.72","2021-07-29 18:15:00"
"6442",51,"8.21","2021-07-29 18:30:00"
"6496",51,"7.742","2021-07-29 18:45:00"
"6550",51,"7.299","2021-07-29 19:00:00"
"6604",51,"6.814","2021-07-29 19:15:00"
"6658",51,"6.694","2021-07-29 19:30:00"
"6712",51,"6.633","2021-07-29 19:45:00"
"6766",51,"6.623","2021-07-29 20:00:00"
"6820",51,"6.43","2021-07-29 20:15:00"
"6874",51,"6.098","2021-07-29 20:30:00"
"6928",51,"5.814","2021-07-29 20:45:00"
"6982",51,"5.583","2021-07-29 21:00:00"
"7036",51,"5.26","2021-07-29 21:15:00"
"7090",51,"4.927","2021-07-29 21:30:00"
"7144",51,"4.846","2021-07-29 21:45:00"
"7198",51,"4.633","2021-07-29 22:00:00"
"7252",51,"4.492","2021-07-29 22:15:00"
"7306",51,"4.361","2021-07-29 22:30:00"
"7360",51,"4.17","2021-07-29 22:45:00"
"7414",51,"4.27","2021-07-29 23:00:00"
"7468",51,"4.047","2021-07-29 23:15:00"
"7522",51,"3.886","2021-07-29 23:30:00"
"7576",51,"3.724","2021-07-29 23:45:00"
"7630",51,"3.36","2021-07-30 00:00:00"
"7684",51,"3.218","2021-07-30 00:15:00"
"7738",51,"2.9859999999999998","2021-07-30 00:30:00"
"7792",51,"2.592","2021-07-30 00:45:00"
"7846",51,"3.098","2021-07-30 01:00:00"
"7900",51,"3.299","2021-07-30 01:15:00"
"7954",51,"2.916","2021-07-30 01:30:00"
"8008",51,"2.572","2021-07-30 01:45:00"
"8062",51,"2.087","2021-07-30 02:00:00"
"8116",51,"1.601","2021-07-30 02:15:00"
"8170",51,"1.4","2021-07-30 02:30:00"
"8224",51,"1.318","2021-07-30 02:45:00"
"8278",51,"1.7730000000000001","2021-07-30 03:00:00"
"8332",51,"2.006","2021-07-30 03:15:00"
"8386",51,"1.925","2021-07-30 03:30:00"
"8440",51,"2.097","2021-07-30 03:45:00"
"8494",51,"2.046","2021-07-30 04:00:00"
"8548",51,"1.744","2021-07-30 04:15:00"
"8602",51,"1.348","2021-07-30 04:30:00"
"8656",51,"1.238","2021-07-30 04:45:00"
"8710",51,"0.59","2021-07-30 05:00:00"
"8764",51,"1.014","2021-07-30 05:15:00"
"8818",51,"1.086","2021-07-30 05:30:00"
"8872",51,"0.67","2021-07-30 05:45:00"
"8926",51,"0.43","2021-07-30 06:00:00"
"8980",51,"0.45","2021-07-30 06:15:00"
"9034",51,"0.8300000000000001","2021-07-30 06:30:00"
"9088",51,"0.84","2021-07-30 06:45:00"
"9142",51,"0.7000000000000001","2021-07-30 07:00:00"
"9196",51,"0.7000000000000001","2021-07-30 07:15:00"
"9250",51,"0.99","2021-07-30 07:30:00"
"9304",51,"1.318","2021-07-30 07:45:00"
"9358",51,"1.722","2021-07-30 08:00:00"
"9412",51,"2.592","2021-07-30 08:15:00"
"9466",51,"2.836","2021-07-30 08:30:00"
"9520",51,"3.623","2021-07-30 08:45:00"
"9574",51,"4.33","2021-07-30 09:00:00"
"9628",51,"5.371","2021-07-30 09:15:00"
"9682",51,"5.785","2021-07-30 09:30:00"
"9736",51,"6.209","2021-07-30 09:45:00"
"9790",51,"6.936","2021-07-30 10:00:00"
"9844",51,"8.17","2021-07-30 10:15:00"
"9898",51,"8.63","2021-07-30 10:30:00"
"9952",51,"8.83","2021-07-30 10:45:00"
"10006",51,"9.42","2021-07-30 11:00:00"
"10060",51,"9.94","2021-07-30 11:15:00"
"10114",51,"10.17","2021-07-30 11:30:00"
"10168",51,"10.73","2021-07-30 11:45:00"
"10222",51,"11.25","2021-07-30 12:00:00"
"10276",51,"11.63","2021-07-30 12:15:00"
"10330",51,"12.4","2021-07-30 12:30:00"
"10384",51,"12.8","2021-07-30 12:45:00"
"10438",51,"13.43","2021-07-30 13:00:00"
"10492",51,"13.6","2021-07-30 13:15:00"
"10546",51,"14.18","2021-07-30 13:30:00"
"10600",51,"14.32","2021-07-30 13:45:00"
"10654",51,"14.78","2021-07-30 14:00:00"
"10708",51,"15.12","2021-07-30 14:15:00"
"10762",51,"15.37","2021-07-30 14:30:00"
"10816",51,"15.6","2021-07-30 14:45:00"
"10870",51,"15.84","2021-07-30 15:00:00"
"10924",51,"15.75","2021-07-30 15:15:00"
"10978",51,"15.89","2021-07-30 15:30:00"
"11032",51,"16.15","2021-07-30 15:45:00"
"11086",51,"16.33","2021-07-30 16:00:00"
"11140",51,"16.33","2021-07-30 16:15:00"
"11194",51,"16.1","2021-07-30 16:30:00"
"11248",51,"15.73","2021-07-30 16:45:00"
"11302",51,"15.32","2021-07-30 17:00:00"
"11356",51,"14.97","2021-07-30 17:15:00"
"11410",51,"14.76","2021-07-30 17:30:00"
"11464",51,"13.91","2021-07-30 17:45:00"
"11518",51,"13.56","2021-07-30 18:00:00"
"11572",51,"13.19","2021-07-30 18:15:00"
"11626",51,"12.96","2021-07-30 18:30:00"
"11680",51,"12.25","2021-07-30 18:45:00"
"11734",51,"11.74","2021-07-30 19:00:00"
"11788",51,"11.74","2021-07-30 19:15:00"
"11842",51,"11.75","2021-07-30 19:30:00"
"11896",51,"11.39","2021-07-30 19:45:00"
"11950",51,"11.45","2021-07-30 20:00:00"
"12004",51,"11.2","2021-07-30 20:15:00"
"12058",51,"10.86","2021-07-30 20:30:00"
"12112",51,"10.87","2021-07-30 20:45:00"
"12166",51,"10.79","2021-07-30 21:00:00"
"12220",51,"10.6","2021-07-30 21:15:00"
"12274",51,"10.12","2021-07-30 21:30:00"
"12328",51,"10.21","2021-07-30 21:45:00"
"12382",51,"10.02","2021-07-30 22:00:00"
"12436",51,"9.98","2021-07-30 22:15:00"
"12490",51,"9.05","2021-07-30 22:30:00"
"12544",51,"8.67","2021-07-30 22:45:00"
"12598",51,"8.38","2021-07-30 23:00:00"
"12652",51,"8.29","2021-07-30 23:15:00"
"12706",51,"8.66","2021-07-30 23:30:00"
"12760",51,"9.22","2021-07-30 23:45:00"
"12814",51,"8.69","2021-07-31 00:00:00"
"12868",51,"8.45","2021-07-31 00:15:00"
"12922",51,"8.23","2021-07-31 00:30:00"
"12976",51,"7.934","2021-07-31 00:45:00"
"13030",51,"7.542","2021-07-31 01:00:00"
"13084",51,"7.299","2021-07-31 01:15:00"
"13138",51,"7.228","2021-07-31 01:30:00"
"13192",51,"6.966","2021-07-31 01:45:00"
"13246",51,"6.633","2021-07-31 02:00:00"
"13300",51,"6.724","2021-07-31 02:15:00"
"13354",51,"6.491","2021-07-31 02:30:00"
"13408",51,"6.148","2021-07-31 02:45:00"
"13462",51,"6.108","2021-07-31 03:00:00"
"13516",51,"6.168","2021-07-31 03:15:00"
"13570",51,"6.29","2021-07-31 03:30:00"
"13624",51,"6.259","2021-07-31 03:45:00"
"13678",51,"6.047","2021-07-31 04:00:00"
"13732",51,"6.007","2021-07-31 04:15:00"
"13786",51,"5.926","2021-07-31 04:30:00"
"13840",51,"5.906","2021-07-31 04:45:00"
"13894",51,"5.886","2021-07-31 05:00:00"
"13948",51,"5.805","2021-07-31 05:15:00"
"14002",51,"5.704","2021-07-31 05:30:00"
"14056",51,"5.604","2021-07-31 05:45:00"
"14110",51,"6.047","2021-07-31 06:00:00"
"14164",51,"6.168","2021-07-31 06:15:00"
