"id_sample","id_sensor","value","date_ref"
"48",18,"19.78","2021-07-28 12:45:00"
"102",18,"21.32","2021-07-28 13:00:00"
"156",18,"21.71","2021-07-28 13:15:00"
"210",18,"22.54","2021-07-28 13:30:00"
"264",18,"22.13","2021-07-28 13:45:00"
"318",18,"21.68","2021-07-28 14:00:00"
"372",18,"21.66","2021-07-28 14:15:00"
"426",18,"21.37","2021-07-28 14:30:00"
"480",18,"19.51","2021-07-28 14:45:00"
"534",18,"18.28","2021-07-28 15:00:00"
"588",18,"19.46","2021-07-28 15:15:00"
"642",18,"20.38","2021-07-28 15:30:00"
"696",18,"20.66","2021-07-28 15:45:00"
"750",18,"20.47","2021-07-28 16:00:00"
"804",18,"20.11","2021-07-28 16:15:00"
"858",18,"19.62","2021-07-28 16:30:00"
"912",18,"18.92","2021-07-28 16:45:00"
"966",18,"18.16","2021-07-28 17:00:00"
"1020",18,"17.19","2021-07-28 17:15:00"
"1074",18,"16.13","2021-07-28 17:30:00"
"1128",18,"15.2","2021-07-28 17:45:00"
"1182",18,"14.19","2021-07-28 18:00:00"
"1236",18,"13.3","2021-07-28 18:15:00"
"1290",18,"12.55","2021-07-28 18:30:00"
"1344",18,"11.89","2021-07-28 18:45:00"
"1398",18,"11.33","2021-07-28 19:00:00"
"1452",18,"10.85","2021-07-28 19:15:00"
"1506",18,"10.48","2021-07-28 19:30:00"
"1560",18,"10.14","2021-07-28 19:45:00"
"1614",18,"9.8","2021-07-28 20:00:00"
"1668",18,"9.46","2021-07-28 20:15:00"
"1722",18,"9.12","2021-07-28 20:30:00"
"1776",18,"8.81","2021-07-28 20:45:00"
"1830",18,"8.51","2021-07-28 21:00:00"
"1884",18,"8.26","2021-07-28 21:15:00"
"1938",18,"8.06","2021-07-28 21:30:00"
"1992",18,"7.841","2021-07-28 21:45:00"
"2046",18,"7.65","2021-07-28 22:00:00"
"2100",18,"7.46","2021-07-28 22:15:00"
"2154",18,"7.27","2021-07-28 22:30:00"
"2208",18,"7.059","2021-07-28 22:45:00"
"2262",18,"6.869","2021-07-28 23:00:00"
"2316",18,"6.692","2021-07-28 23:15:00"
"2370",18,"6.499","2021-07-28 23:30:00"
"2424",18,"6.301","2021-07-28 23:45:00"
"2478",18,"6.124","2021-07-29 00:00:00"
"2532",18,"6.003","2021-07-29 00:15:00"
"2586",18,"5.898","2021-07-29 00:30:00"
"2640",18,"5.79","2021-07-29 00:45:00"
"2694",18,"5.663","2021-07-29 01:00:00"
"2748",18,"5.494","2021-07-29 01:15:00"
"2802",18,"5.308","2021-07-29 01:30:00"
"2856",18,"5.11","2021-07-29 01:45:00"
"2910",18,"4.974","2021-07-29 02:00:00"
"2964",18,"4.843","2021-07-29 02:15:00"
"3018",18,"4.663","2021-07-29 02:30:00"
"3072",18,"4.476","2021-07-29 02:45:00"
"3126",18,"4.286","2021-07-29 03:00:00"
"3180",18,"4.109","2021-07-29 03:15:00"
"3234",18,"3.988","2021-07-29 03:30:00"
"3288",18,"3.8120000000000003","2021-07-29 03:45:00"
"3342",18,"3.591","2021-07-29 04:00:00"
"3396",18,"3.365","2021-07-29 04:15:00"
"3450",18,"3.222","2021-07-29 04:30:00"
"3504",18,"3.132","2021-07-29 04:45:00"
"3558",18,"3.038","2021-07-29 05:00:00"
"3612",18,"2.887","2021-07-29 05:15:00"
"3666",18,"2.716","2021-07-29 05:30:00"
"3720",18,"2.567","2021-07-29 05:45:00"
"3774",18,"2.445","2021-07-29 06:00:00"
"3828",18,"2.303","2021-07-29 06:15:00"
"3882",18,"2.124","2021-07-29 06:30:00"
"3936",18,"1.932","2021-07-29 06:45:00"
"3990",18,"1.738","2021-07-29 07:00:00"
"4044",18,"1.6480000000000001","2021-07-29 07:15:00"
"4098",18,"1.718","2021-07-29 07:30:00"
"4152",18,"1.907","2021-07-29 07:45:00"
"4206",18,"2.13","2021-07-29 08:00:00"
"4260",18,"2.818","2021-07-29 08:15:00"
"4314",18,"4.496","2021-07-29 08:30:00"
"4368",18,"6.126","2021-07-29 08:45:00"
"4422",18,"7.628","2021-07-29 09:00:00"
"4476",18,"9.09","2021-07-29 09:15:00"
"4530",18,"10.35","2021-07-29 09:30:00"
"4584",18,"11.64","2021-07-29 09:45:00"
"4638",18,"13.11","2021-07-29 10:00:00"
"4692",18,"14.37","2021-07-29 10:15:00"
"4746",18,"15.62","2021-07-29 10:30:00"
"4800",18,"16.92","2021-07-29 10:45:00"
"4854",18,"17.99","2021-07-29 11:00:00"
"4908",18,"19.12","2021-07-29 11:15:00"
"4962",18,"20.31","2021-07-29 11:30:00"
"5016",18,"21.45","2021-07-29 11:45:00"
"5070",18,"22.38","2021-07-29 12:00:00"
"5124",18,"23.02","2021-07-29 12:15:00"
"5178",18,"23.76","2021-07-29 12:30:00"
"5232",18,"24.37","2021-07-29 12:45:00"
"5286",18,"25.03","2021-07-29 13:00:00"
"5340",18,"25.38","2021-07-29 13:15:00"
"5394",18,"25.47","2021-07-29 13:30:00"
"5448",18,"25.3","2021-07-29 13:45:00"
