"id_sample","id_sensor","value","date_ref"
"45",48,"20.3","2021-07-28 12:45:00"
"99",48,"20.3","2021-07-28 13:00:00"
"153",48,"20.29","2021-07-28 13:15:00"
"207",48,"20.29","2021-07-28 13:30:00"
"261",48,"20.28","2021-07-28 13:45:00"
"315",48,"20.28","2021-07-28 14:00:00"
"369",48,"20.28","2021-07-28 14:15:00"
"423",48,"20.28","2021-07-28 14:30:00"
"477",48,"20.27","2021-07-28 14:45:00"
"531",48,"20.27","2021-07-28 15:00:00"
"585",48,"20.27","2021-07-28 15:15:00"
"639",48,"20.27","2021-07-28 15:30:00"
"693",48,"20.27","2021-07-28 15:45:00"
"747",48,"20.27","2021-07-28 16:00:00"
"801",48,"20.27","2021-07-28 16:15:00"
"855",48,"20.27","2021-07-28 16:30:00"
"909",48,"20.27","2021-07-28 16:45:00"
"963",48,"20.26","2021-07-28 17:00:00"
"1017",48,"20.26","2021-07-28 17:15:00"
"1071",48,"20.26","2021-07-28 17:30:00"
"1125",48,"20.26","2021-07-28 17:45:00"
"1179",48,"20.26","2021-07-28 18:00:00"
"1233",48,"20.27","2021-07-28 18:15:00"
"1287",48,"20.28","2021-07-28 18:30:00"
"1341",48,"20.29","2021-07-28 18:45:00"
"1395",48,"20.29","2021-07-28 19:00:00"
"1449",48,"20.3","2021-07-28 19:15:00"
"1503",48,"20.3","2021-07-28 19:30:00"
"1557",48,"20.31","2021-07-28 19:45:00"
"1611",48,"20.31","2021-07-28 20:00:00"
"1665",48,"20.31","2021-07-28 20:15:00"
"1719",48,"20.31","2021-07-28 20:30:00"
"1773",48,"20.31","2021-07-28 20:45:00"
"1827",48,"20.3","2021-07-28 21:00:00"
"1881",48,"20.31","2021-07-28 21:15:00"
"1935",48,"20.32","2021-07-28 21:30:00"
"1989",48,"20.32","2021-07-28 21:45:00"
"2043",48,"20.32","2021-07-28 22:00:00"
"2097",48,"20.32","2021-07-28 22:15:00"
"2151",48,"20.32","2021-07-28 22:30:00"
"2205",48,"20.32","2021-07-28 22:45:00"
"2259",48,"20.32","2021-07-28 23:00:00"
"2313",48,"20.32","2021-07-28 23:15:00"
"2367",48,"20.32","2021-07-28 23:30:00"
"2421",48,"20.32","2021-07-28 23:45:00"
"2475",48,"20.32","2021-07-29 00:00:00"
"2529",48,"20.32","2021-07-29 00:15:00"
"2583",48,"20.31","2021-07-29 00:30:00"
"2637",48,"20.31","2021-07-29 00:45:00"
"2691",48,"20.31","2021-07-29 01:00:00"
"2745",48,"20.31","2021-07-29 01:15:00"
"2799",48,"20.31","2021-07-29 01:30:00"
"2853",48,"20.32","2021-07-29 01:45:00"
"2907",48,"20.32","2021-07-29 02:00:00"
"2961",48,"20.32","2021-07-29 02:15:00"
"3015",48,"20.33","2021-07-29 02:30:00"
"3069",48,"20.33","2021-07-29 02:45:00"
"3123",48,"20.33","2021-07-29 03:00:00"
"3177",48,"20.33","2021-07-29 03:15:00"
"3231",48,"20.33","2021-07-29 03:30:00"
"3285",48,"20.33","2021-07-29 03:45:00"
"3339",48,"20.33","2021-07-29 04:00:00"
"3393",48,"20.34","2021-07-29 04:15:00"
"3447",48,"20.34","2021-07-29 04:30:00"
"3501",48,"20.34","2021-07-29 04:45:00"
"3555",48,"20.34","2021-07-29 05:00:00"
"3609",48,"20.34","2021-07-29 05:15:00"
"3663",48,"20.35","2021-07-29 05:30:00"
"3717",48,"20.34","2021-07-29 05:45:00"
"3771",48,"20.35","2021-07-29 06:00:00"
"3825",48,"20.35","2021-07-29 06:15:00"
"3879",48,"20.35","2021-07-29 06:30:00"
"3933",48,"20.34","2021-07-29 06:45:00"
"3987",48,"20.34","2021-07-29 07:00:00"
"4041",48,"20.34","2021-07-29 07:15:00"
"4095",48,"20.34","2021-07-29 07:30:00"
"4149",48,"20.34","2021-07-29 07:45:00"
"4203",48,"20.35","2021-07-29 08:00:00"
"4257",48,"20.34","2021-07-29 08:15:00"
"4311",48,"20.35","2021-07-29 08:30:00"
"4365",48,"20.35","2021-07-29 08:45:00"
"4419",48,"20.34","2021-07-29 09:00:00"
"4473",48,"20.33","2021-07-29 09:15:00"
"4527",48,"20.32","2021-07-29 09:30:00"
"4581",48,"20.31","2021-07-29 09:45:00"
"4635",48,"20.31","2021-07-29 10:00:00"
"4689",48,"20.3","2021-07-29 10:15:00"
"4743",48,"20.29","2021-07-29 10:30:00"
"4797",48,"20.29","2021-07-29 10:45:00"
"4851",48,"20.29","2021-07-29 11:00:00"
"4905",48,"20.28","2021-07-29 11:15:00"
"4959",48,"20.27","2021-07-29 11:30:00"
"5013",48,"20.27","2021-07-29 11:45:00"
"5067",48,"20.27","2021-07-29 12:00:00"
"5121",48,"20.27","2021-07-29 12:15:00"
"5175",48,"20.27","2021-07-29 12:30:00"
"5229",48,"20.26","2021-07-29 12:45:00"
"5283",48,"20.26","2021-07-29 13:00:00"
"5337",48,"20.26","2021-07-29 13:15:00"
"5391",48,"20.26","2021-07-29 13:30:00"
"5445",48,"20.25","2021-07-29 13:45:00"
"5499",48,"20.25","2021-07-29 14:00:00"
"5553",48,"20.25","2021-07-29 14:15:00"
"5607",48,"20.24","2021-07-29 14:30:00"
"5661",48,"20.24","2021-07-29 14:45:00"
"5715",48,"20.24","2021-07-29 15:00:00"
"5769",48,"20.23","2021-07-29 15:15:00"
"5823",48,"20.23","2021-07-29 15:30:00"
"5877",48,"20.23","2021-07-29 15:45:00"
"5931",48,"20.23","2021-07-29 16:00:00"
"5985",48,"20.23","2021-07-29 16:15:00"
"6039",48,"20.23","2021-07-29 16:30:00"
"6093",48,"20.23","2021-07-29 16:45:00"
"6147",48,"20.23","2021-07-29 17:00:00"
"6201",48,"20.22","2021-07-29 17:15:00"
"6255",48,"20.22","2021-07-29 17:30:00"
"6309",48,"20.22","2021-07-29 17:45:00"
"6363",48,"20.23","2021-07-29 18:00:00"
"6417",48,"20.24","2021-07-29 18:15:00"
"6471",48,"20.24","2021-07-29 18:30:00"
"6525",48,"20.25","2021-07-29 18:45:00"
"6579",48,"20.26","2021-07-29 19:00:00"
"6633",48,"20.27","2021-07-29 19:15:00"
"6687",48,"20.28","2021-07-29 19:30:00"
"6741",48,"20.28","2021-07-29 19:45:00"
"6795",48,"20.28","2021-07-29 20:00:00"
"6849",48,"20.28","2021-07-29 20:15:00"
