"id_sample","id_sensor","value","date_ref"
"2",20,"220.4","2021-07-28 12:45:00"
"56",20,"227","2021-07-28 13:00:00"
"110",20,"229.7","2021-07-28 13:15:00"
"164",20,"215.7","2021-07-28 13:30:00"
"218",20,"213.2","2021-07-28 13:45:00"
"272",20,"218.2","2021-07-28 14:00:00"
"326",20,"218.4","2021-07-28 14:15:00"
"380",20,"213","2021-07-28 14:30:00"
"434",20,"234.2","2021-07-28 14:45:00"
"488",20,"245.8","2021-07-28 15:00:00"
"542",20,"236.4","2021-07-28 15:15:00"
"596",20,"234.5","2021-07-28 15:30:00"
"650",20,"238.2","2021-07-28 15:45:00"
"704",20,"240.1","2021-07-28 16:00:00"
"758",20,"234.7","2021-07-28 16:15:00"
"812",20,"236.4","2021-07-28 16:30:00"
"866",20,"236.2","2021-07-28 16:45:00"
"920",20,"239.8","2021-07-28 17:00:00"
"974",20,"235.3","2021-07-28 17:15:00"
"1028",20,"236.1","2021-07-28 17:30:00"
"1082",20,"245.1","2021-07-28 17:45:00"
"1136",20,"250.7","2021-07-28 18:00:00"
"1190",20,"253.6","2021-07-28 18:15:00"
"1244",20,"253.9","2021-07-28 18:30:00"
"1298",20,"250.2","2021-07-28 18:45:00"
"1352",20,"245.9","2021-07-28 19:00:00"
"1406",20,"250","2021-07-28 19:15:00"
"1460",20,"252.3","2021-07-28 19:30:00"
"1514",20,"247.6","2021-07-28 19:45:00"
"1568",20,"240.9","2021-07-28 20:00:00"
"1622",20,"241","2021-07-28 20:15:00"
"1676",20,"239.7","2021-07-28 20:30:00"
"1730",20,"241","2021-07-28 20:45:00"
"1784",20,"245","2021-07-28 21:00:00"
"1838",20,"249.2","2021-07-28 21:15:00"
"1892",20,"246.4","2021-07-28 21:30:00"
"1946",20,"244","2021-07-28 21:45:00"
"2000",20,"248.6","2021-07-28 22:00:00"
"2054",20,"244.7","2021-07-28 22:15:00"
"2108",20,"245.5","2021-07-28 22:30:00"
"2162",20,"248.5","2021-07-28 22:45:00"
"2216",20,"247.1","2021-07-28 23:00:00"
"2270",20,"240.9","2021-07-28 23:15:00"
"2324",20,"236.4","2021-07-28 23:30:00"
"2378",20,"234.2","2021-07-28 23:45:00"
"2432",20,"232","2021-07-29 00:00:00"
"2486",20,"234.2","2021-07-29 00:15:00"
"2540",20,"235.2","2021-07-29 00:30:00"
"2594",20,"237.9","2021-07-29 00:45:00"
"2648",20,"235.9","2021-07-29 01:00:00"
"2702",20,"240.9","2021-07-29 01:15:00"
"2756",20,"241.3","2021-07-29 01:30:00"
"2810",20,"238.5","2021-07-29 01:45:00"
"2864",20,"242.3","2021-07-29 02:00:00"
"2918",20,"236.3","2021-07-29 02:15:00"
"2972",20,"231.3","2021-07-29 02:30:00"
"3026",20,"226.4","2021-07-29 02:45:00"
"3080",20,"227.7","2021-07-29 03:00:00"
"3134",20,"220.5","2021-07-29 03:15:00"
"3188",20,"223.8","2021-07-29 03:30:00"
"3242",20,"228.4","2021-07-29 03:45:00"
"3296",20,"224.3","2021-07-29 04:00:00"
"3350",20,"219.5","2021-07-29 04:15:00"
"3404",20,"216.6","2021-07-29 04:30:00"
"3458",20,"212.4","2021-07-29 04:45:00"
"3512",20,"211.6","2021-07-29 05:00:00"
"3566",20,"205.5","2021-07-29 05:15:00"
"3620",20,"208.1","2021-07-29 05:30:00"
