sensor,dias,n_pontos,lempelziv,shannon,shannon_bins,perm,mse_ci,mse_sampen
batmin,1,97,0.27216,0.46061,20,0.87443,0.14818,[0.05918887 0.08898962]
molfoliar1m_sec,1,97,0.54432,0.52278,8,0.403,0.77454,[0.25266944 0.52187546]
pressao,1,97,0.3402,0.9625,3,0.22026,0.60748,[0.19267396 0.41481097]
raj10m,1,97,0.6804,0.72257,15,0.97204,2.17851,[0.9983516  1.18016216]
tempminar2m,1,97,0.27216,0.93653,8,0.89563,0.81036,[0.3074847 0.5028733]
tempsolocm2cm,1,97,0.27216,0.84223,8,0.71482,0.38887,[0.13822873 0.2506408 ]
tempsolonu100cm,1,97,0.27216,0.91408,8,0.61382,0.50547,[0.14207115 0.36339389]
tempsolonu20cm,1,97,0.3402,0.93451,8,0.47363,0.89358,[0.43276651 0.4608152 ]
ventodir10m,1,97,0.6804,0.77809,8,0.93725,1.39088,[0.51807774 0.87280562]
ventovel10m,1,97,0.54432,0.91647,8,0.94881,2.73952,[1.17733544 1.56218503]
batmin,3,289,0.19801,0.92271,11,0.85628,1.26142,[0.27516385 0.31701578 0.30551224 0.3637255 ]
molfoliar1m_sec,3,289,0.4243,0.45005,10,0.22809,1.05392,[0.14815136 0.22920599 0.30728219 0.369279  ]
pressao,3,289,0.19801,0.46538,28,0.22995,2.14061,[0.20198019 0.47000363 0.68282007 0.78580601]
raj10m,3,289,0.56574,0.69732,12,0.83947,4.0581,[0.69326212 0.97751982 1.20143151 1.18588569]
tempminar2m,3,289,0.14143,0.92953,10,0.63744,1.25294,[0.14248699 0.25903396 0.37627849 0.47514503]
tempsolocm2cm,3,289,0.2263,0.88393,10,0.44612,1.65142,[0.18153205 0.34233592 0.48392233 0.64363212]
tempsolonu100cm,3,289,0.19801,0.6472,25,0.47274,1.83313,[0.17510043 0.32778479 0.56376804 0.76647845]
tempsolonu20cm,3,289,0.4243,0.2039,34,0.57222,1.20599,[0.13478239 0.25382484 0.3965905  0.42079297]
ventodir10m,3,289,0.6506,0.79715,10,0.84459,2.55912,[0.46653336 0.65868761 0.66606622 0.76782795]
ventovel10m,3,289,0.48088,0.65974,12,0.90936,3.90043,[0.75427444 0.95882042 1.01282316 1.17451077]
batmin,7,673,0.13959,0.46701,52,0.70435,1.49768,"[0.05336704 0.08188119 0.1124363  0.13622958 0.16757005 0.19621635
0.21842983 0.25602909 0.27551734]"
molfoliar1m_sec,7,673,0.20939,0.09613,52,0.09792,0.78926,"[0.02700796 0.04785779 0.06275393 0.06992437 0.09091159 0.11111566
0.10957697 0.12344099 0.14666935]"
pressao,7,673,0.05584,0.03535,52,0.21452,0.14571,"[0.00315524 0.00634323 0.0095627  0.012735   0.01612732 0.01923136
0.02272825 0.02597549 0.02985296]"
raj10m,7,673,0.44669,0.89893,15,0.90476,11.60458,"[0.85016878 1.14240721 1.1937946  1.44691898 1.36372004 1.21354226
1.51412773 1.32175584 1.55814462]"
tempminar2m,7,673,0.15355,0.95745,11,0.60411,3.90391,"[0.32134797 0.37564873 0.33004615 0.37483141 0.39260695 0.42102962
0.57054486 0.37469345 0.7431576 ]"
tempsolocm2cm,7,673,0.18147,0.92044,18,0.35523,4.40942,"[0.20692817 0.29611    0.35290969 0.40131203 0.46403346 0.51639667
0.61037489 0.71405387 0.84729786]"
tempsolonu100cm,7,673,0.11167,0.18445,52,0.46076,0.35026,"[0.01030614 0.01443667 0.02179759 0.02940434 0.03638934 0.04702334
0.05512725 0.06122673 0.07455178]"
tempsolonu20cm,7,673,0.13959,0.06784,52,0.4177,0.31596,"[0.01567178 0.01909164 0.01918491 0.02605928 0.03312509 0.03980329
0.04687507 0.05517854 0.0609659 ]"
ventodir10m,7,673,0.47461,0.91109,11,0.91541,5.54436,"[0.45596255 0.54170408 0.61204715 0.62790666 0.69314718 0.55673533
0.60533097 0.73895672 0.71256527]"
ventovel10m,7,673,0.53045,0.87864,17,0.8998,15.53991,"[0.96404548 1.02101521 1.34144379 1.49336574 1.63760879 1.98958521
2.02814825 2.12026354 2.94443898]"
