sensor,period,order,mae,mse,wape
batmin,1 dia,"(1, 0, 0)",0.108,0.012,0.896%
molfoliar1m_sec,1 dia,"(1, 0, 1)",2.095,8.326,137.832%
pressao,1 dia,"(2, 0, 2)",0.18,0.095,0.019%
raj10m,1 dia,"(0, 1, 0)",0.886,1.362,28.954%
tempminar2m,1 dia,"(2, 1, 2)",0.404,0.278,1.649%
tempsolocm2cm,1 dia,"(3, 1, 2)",0.166,0.053,0.802%
tempsolonu100cm,1 dia,"(0, 2, 3)",0.006,0.0,0.026%
tempsolonu20cm,1 dia,"(0, 2, 5)",0.005,0.0,0.019%
ventodir10m,1 dia,"(0, 1, 0)",39.36,7936.28,19.339%
ventovel10m,1 dia,"(2, 1, 2)",0.576,0.449,17.79%
batmin,3 dias,"(5, 1, 1)",0.051,0.007,0.427%
molfoliar1m_sec,3 dias,"(3, 1, 0)",0.853,5.39,8.677%
pressao,3 dias,"(0, 1, 0)",0.74,14.603,0.078%
raj10m,3 dias,"(2, 1, 2)",0.383,0.354,29.738%
tempminar2m,3 dias,"(1, 1, 2)",0.247,0.103,4.228%
tempsolocm2cm,3 dias,"(3, 0, 3)",0.46,0.402,1.62%
tempsolonu100cm,3 dias,"(4, 1, 1)",0.022,0.001,0.099%
tempsolonu20cm,3 dias,"(0, 1, 3)",0.401,0.88,1.662%
ventodir10m,3 dias,"(1, 0, 3)",34.905,3204.165,17.48%
ventovel10m,3 dias,"(0, 1, 2)",0.733,1.592,58.657%
batmin,7 dias,"(1, 1, 1)",0.194,1.223,1.836%
molfoliar1m_sec,7 dias,"(4, 1, 3)",0.851,5.783,6.285%
pressao,7 dias,"(0, 1, 0)",0.29,3.32,0.03%
raj10m,7 dias,"(1, 1, 1)",0.62,0.727,17.635%
tempminar2m,7 dias,"(3, 0, 1)",0.266,0.119,1.295%
tempsolocm2cm,7 dias,"(4, 0, 1)",0.21,0.102,1.696%
tempsolonu100cm,7 dias,"(1, 1, 5)",0.964,7.026,4.34%
tempsolonu20cm,7 dias,"(2, 1, 1)",1.964,36.109,8.501%
ventodir10m,7 dias,"(2, 0, 1)",19.641,1693.808,8.834%
ventovel10m,7 dias,"(2, 1, 2)",0.502,0.472,20.61%
